model,horizon,seed,feature_count,encoded_feature_count,train_samples,tuning_samples,calibration_samples,test_samples,best_iteration,best_tuning_quantile_loss,elapsed_seconds,test_used_for_model_selection,checkpoint,checkpoint_sha256
UQ_T2_best_environmental_M4_pressure,1,20260718,27,79,68963,7472,6865,13641,697,0.3263218785793347,8.9729905128479,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h1_seed20260718.json,f58293dbc01b06536ade7752611ca83fce0935f894523d0a7c58434150e69b74
UQ_T2_best_environmental_M4_pressure,3,42,27,79,68870,7471,6764,13539,699,0.3491907931177536,8.986063718795776,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h3_seed42.json,cac954ff2f04634c123e4dfc2f95098bc6f570c2a288c35821189237ddfe3c7f
UQ_T2_best_environmental_M4_pressure,3,2025,27,79,68870,7471,6764,13539,699,0.34263051587231536,8.907030582427979,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h3_seed2025.json,1843798db0b5b051b413795d79334f3a38332013dae162c735ce522bc7550dbf
UQ_T2_best_environmental_M4_pressure,3,20260623,27,79,68870,7471,6764,13539,699,0.3317358232754149,8.987993001937866,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h3_seed20260623.json,424221eb6110d357bfdf615226db0e6d08ea20ae9d9036cb714173eb0f78fe9c
UQ_T2_best_environmental_M4_pressure,3,20260715,27,79,68870,7471,6764,13539,699,0.33591424923428603,9.056999206542969,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h3_seed20260715.json,510f99084e59f40f3daaf8219044926432548f17191f2404eda3d9e226b109f5
UQ_T2_best_environmental_M4_pressure,3,20260718,27,79,68870,7471,6764,13539,699,0.33829037018057284,8.864004611968994,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h3_seed20260718.json,1708ba61a622358356d47a1f9875eca3712a14168c991306637648b9b0811e92
UQ_T2_best_environmental_M4_pressure,6,42,27,79,68717,7468,6616,13387,699,0.3307545277274511,8.968052625656128,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h6_seed42.json,63333fa3ef8d5c3de747fceec69980d8699824e788e901352022088eb9b5335b
UQ_T2_best_environmental_M4_pressure,6,2025,27,79,68717,7468,6616,13387,693,0.3439234216632527,8.946064949035645,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h6_seed2025.json,fe36ea41cbeb523bcc368c2faadd017ce7c1a97c6c7a26b9d2a65f179e4f6b38
UQ_T2_best_environmental_M4_pressure,6,20260623,27,79,68717,7468,6616,13387,695,0.33578437737715816,9.067996978759766,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h6_seed20260623.json,b52cd2845e13ef4665bc763a161bd6c7b8668435d6cf277cce1727f07b2c237a
UQ_T2_best_environmental_M4_pressure,6,20260715,27,79,68717,7468,6616,13387,699,0.33424962699124966,9.122926712036133,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h6_seed20260715.json,171f46fb7f4ea09e6011a6d4f23c3c292342f71df92ebb54347b9d7dab5be9f4
UQ_T2_best_environmental_M4_pressure,6,20260718,27,79,68717,7468,6616,13387,699,0.33859722044956075,8.934998989105225,False,09_E7_UQ\best_checkpoint\UQ_T2_best_environmental_M4_pressure_h6_seed20260718.json,a7070e735aee97d20be8a73f1a51d3c2eaf20b7e5b13e82273d0adfbe2f6dd3e
UQ_aux_full_fusion,1,42,93,151,68963,7472,6865,13641,699,0.33889869180435783,11.247005701065063,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h1_seed42.json,3822ced7ed90cc7e0bb0805f6b298012a7f279789ade4ea17a8da1e56dac1d8b
UQ_aux_full_fusion,1,2025,93,151,68963,7472,6865,13641,697,0.34276483682800035,11.286928415298462,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h1_seed2025.json,cc41974b50fd0be00359191d6e89b44f1473e715ced14457dc6e698ac48476b3
UQ_aux_full_fusion,1,20260623,93,151,68963,7472,6865,13641,697,0.34103888649481784,11.464002847671509,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h1_seed20260623.json,242d0d25343f91b92c675c39cf462530f3b800e3c9922a93a4adc790165e2f6e
UQ_aux_full_fusion,1,20260715,93,151,68963,7472,6865,13641,699,0.3393240022151282,11.292062520980835,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h1_seed20260715.json,0e8b38dfdf2fe5cea9c25524cd8c0abe99545b21857d980ddf60b18fedcee64a
UQ_aux_full_fusion,1,20260718,93,151,68963,7472,6865,13641,698,0.3402537323894309,11.162070035934448,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h1_seed20260718.json,1b281e703643ca8700451ffe05859754d7d157be15d187cb67689933f9b14436
UQ_aux_full_fusion,3,42,93,151,68870,7471,6764,13539,698,0.3482741398156278,11.222997665405273,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h3_seed42.json,d963e335ae7c97cdf69aeb9361d4a415196bb134b40473c931de0b8c5eed390e
UQ_aux_full_fusion,3,2025,93,151,68870,7471,6764,13539,698,0.351537157073142,11.267033100128174,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h3_seed2025.json,7f42198aba18dfb8af1c75268c42bf7eb1da763f9656d27a874eaec9c9553c41
UQ_aux_full_fusion,3,20260623,93,151,68870,7471,6764,13539,699,0.35435892169974803,11.454017400741577,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h3_seed20260623.json,ba79f1658eb2d81ae8c406082e93d0ca0ebebd8f54bef05016e186ded9015d18
UQ_aux_full_fusion,3,20260715,93,151,68870,7471,6764,13539,699,0.3561040972544559,11.224999189376831,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h3_seed20260715.json,ab8c3ad6b7a8571acf8545fc114de6e802e91d2ec9e494393200a267474a7694
UQ_aux_full_fusion,3,20260718,93,151,68870,7471,6764,13539,698,0.356062190758745,11.084996700286865,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h3_seed20260718.json,ee534e4040077e4fb50d627dac925f4a87f2146c68f3bc0abafdbfcf4200befb
UQ_aux_full_fusion,6,42,93,151,68717,7468,6616,13387,698,0.3631640770079103,11.328999757766724,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h6_seed42.json,515fb88c54cf151440d612c81f45ac3fac790e6058d50696d1dcfc02a2221d38
UQ_aux_full_fusion,6,2025,93,151,68717,7468,6616,13387,699,0.35958317036846965,11.277074337005615,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h6_seed2025.json,8d3fff8475fdb355e317d018e846752bcb6419a0f88550dae9b3ad8647e31100
UQ_aux_full_fusion,6,20260623,93,151,68717,7468,6616,13387,699,0.3693025222684223,11.295994997024536,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h6_seed20260623.json,5a2889384c8049daf296a4a1e2714bec1341842d1c32e5d47c4437b3c2c54d7e
UQ_aux_full_fusion,6,20260715,93,151,68717,7468,6616,13387,699,0.3549418566435457,11.30886459350586,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h6_seed20260715.json,740623f1f12018975c8ea6ac00dc060f05f71758339ae9379fdd8016056af874
UQ_aux_full_fusion,6,20260718,93,151,68717,7468,6616,13387,699,0.36217789554628216,11.343997478485107,False,09_E7_UQ\best_checkpoint\UQ_aux_full_fusion_h6_seed20260718.json,aac71ae4e369c64dfca8344648276a4a493c2e3887dec07d46eefe736d1a8412
