scenario,model,horizon,seed,sample_count,Pinball_q05,Pinball_q50,Pinball_q95,Pinball_Loss,PICP,MPIW,PINAW,median_MAE
S1_dry,UQ_T1_traffic_only,1,42,5492,0.40956786581832655,0.4699336317274923,0.5738310791503233,0.4844441922320473,0.9459213401310997,14.760985608528065,0.18451232010660082,0.9398672634549846
S1_dry,UQ_T1_traffic_only,1,2025,5492,0.4087518176108664,0.4672588680403474,0.5738342917755589,0.4832816591422575,0.945375091041515,14.598071054568363,0.18247588818210453,0.9345177360806948
S1_dry,UQ_T1_traffic_only,1,20260623,5492,0.40749544670177223,0.4816523881524649,0.5738098936886664,0.48765257618096786,0.9508375819373635,14.8746608124974,0.1859332601562175,0.9633047763049298
S1_dry,UQ_T1_traffic_only,1,20260715,5492,0.4094036319354809,0.46942349463071775,0.5738345926031964,0.48422057305646504,0.9488346686088857,14.619910902466465,0.1827488862808308,0.9388469892614355
S1_dry,UQ_T1_traffic_only,1,20260718,5492,0.40354661179213996,0.47874840714162226,0.5738211640630951,0.48537206099895247,0.948652585579024,14.694877250821419,0.18368596563526773,0.9574968142832445
S1_dry,UQ_T1_traffic_only,3,42,5322,0.36591991132831536,0.46521028545914356,0.5626491632106747,0.46459311999937786,0.9490792934986847,14.350080575050603,0.17937600718813254,0.9304205709182871
S1_dry,UQ_T1_traffic_only,3,2025,5322,0.3607332567933895,0.4509986716524545,0.5626579625317143,0.45812996365918607,0.9490792934986847,14.183988526368312,0.1772998565796039,0.901997343304909
S1_dry,UQ_T1_traffic_only,3,20260623,5322,0.36558125285177656,0.45207859295196706,0.5626480758570949,0.46010264055361283,0.9430665163472379,14.21357582333123,0.17766969779164038,0.9041571859039341
S1_dry,UQ_T1_traffic_only,3,20260715,5322,0.3634948748925807,0.48775993366521,0.5625538096845446,0.47126953941411176,0.9513340849304772,14.313186624004446,0.17891483280005557,0.97551986733042
S1_dry,UQ_T1_traffic_only,3,20260718,5322,0.36304135051986774,0.47289069654886906,0.5625253072585978,0.4661524514424449,0.948891394212702,14.26982447958584,0.178372805994823,0.9457813930977381
S1_dry,UQ_T1_traffic_only,6,42,5123,0.34160515034824707,0.43983002051510384,0.5684754643057702,0.4499702117230404,0.9474917040796408,13.82459867203024,0.172807483400378,0.8796600410302077
S1_dry,UQ_T1_traffic_only,6,2025,5123,0.34031566885703013,0.4318818325598957,0.5683808139448825,0.4468594384539361,0.9506148740972087,13.866691360384278,0.17333364200480347,0.8637636651197914
S1_dry,UQ_T1_traffic_only,6,20260623,5123,0.3386866625737986,0.4186508801214727,0.5683891056804673,0.44190888279191287,0.9471013078274448,13.81169804534525,0.1726462255668156,0.8373017602429454
S1_dry,UQ_T1_traffic_only,6,20260715,5123,0.34180970202194116,0.43161357028536,0.5684404713274939,0.4472879145449317,0.9455397228186609,13.830865619844834,0.17288582024806043,0.86322714057072
S1_dry,UQ_T1_traffic_only,6,20260718,5123,0.34703978099744814,0.42310609488009754,0.5683901752551603,0.446178683710902,0.9471013078274448,13.7955969971138,0.1724449624639225,0.8462121897601951
S1_dry,UQ_T2_best_environmental_M4_pressure,1,42,5492,0.4132959548522327,0.4686636301347659,0.5738239622949605,0.4852611824273197,0.9388201019664967,14.543432256208227,0.18179290320260283,0.9373272602695318
S1_dry,UQ_T2_best_environmental_M4_pressure,1,2025,5492,0.4116271103027522,0.46885422903173435,0.5738422222755643,0.48477452053668363,0.9390021849963583,14.54880146205816,0.181860018275727,0.9377084580634687
S1_dry,UQ_T2_best_environmental_M4_pressure,1,20260623,5492,0.4169229749337826,0.4840365609198874,0.5738097556733083,0.4915897638423261,0.9446467589220685,14.895640211390129,0.1861955026423766,0.9680731218397748
S1_dry,UQ_T2_best_environmental_M4_pressure,1,20260715,5492,0.41192223839923064,0.47373412824076455,0.5738212812407041,0.4864925492935665,0.9446467589220685,14.616403866925555,0.18270504833656945,0.9474682564815291
S1_dry,UQ_T2_best_environmental_M4_pressure,1,20260718,5492,0.40868301790991757,0.4682238013398795,0.573812479306032,0.48357309951860966,0.943918426802622,14.61438258928881,0.18267978236611013,0.936447602679759
S1_dry,UQ_T2_best_environmental_M4_pressure,3,42,5322,0.3732595351619498,0.4911554718949391,0.56260427034515,0.4756730924673463,0.9419391206313416,14.238249201023772,0.17797811501279714,0.9823109437898782
S1_dry,UQ_T2_best_environmental_M4_pressure,3,2025,5322,0.3700546463016996,0.4724621032691907,0.562552436694576,0.4683563954218221,0.9428786170612552,14.297316441182936,0.1787164555147867,0.9449242065383814
S1_dry,UQ_T2_best_environmental_M4_pressure,3,20260623,5322,0.36132382816141234,0.4540001787847256,0.562545611669318,0.45928987287181866,0.9393085306275836,14.2181328329454,0.1777266604118175,0.9080003575694512
S1_dry,UQ_T2_best_environmental_M4_pressure,3,20260715,5322,0.3682099749118213,0.4571488003048042,0.5625511816864134,0.462636652301013,0.9451334084930477,14.177355645160754,0.17721694556450943,0.9142976006096084
S1_dry,UQ_T2_best_environmental_M4_pressure,3,20260718,5322,0.36968039274663683,0.4606688326348581,0.5625544500548071,0.464301225145434,0.9408117249154453,14.2339516302465,0.17792439537808125,0.9213376652697162
S1_dry,UQ_T2_best_environmental_M4_pressure,6,42,5123,0.3545207010217414,0.4177868967988913,0.5683881652231871,0.4468985876812733,0.9400741752879173,13.774775641145544,0.1721846955143193,0.8355737935977826
S1_dry,UQ_T2_best_environmental_M4_pressure,6,2025,5123,0.3469655338311926,0.44518508609561,0.5683646309312941,0.45350508361936565,0.9414405621706031,13.81889832143134,0.17273622901789173,0.89037017219122
S1_dry,UQ_T2_best_environmental_M4_pressure,6,20260623,5123,0.35265625924447913,0.423708799549455,0.5684378637365599,0.448267640843498,0.9408549677923091,13.830581477394379,0.17288226846742974,0.84741759909891
S1_dry,UQ_T2_best_environmental_M4_pressure,6,20260715,5123,0.3599251004371144,0.427214864127319,0.5683876285742863,0.45184253104623995,0.9404645715401132,13.788705475461127,0.1723588184432641,0.854429728254638
S1_dry,UQ_T2_best_environmental_M4_pressure,6,20260718,5123,0.3582981870994888,0.42534688606686644,0.5684046920286412,0.4506832550649988,0.9404645715401132,13.785044215327241,0.17231305269159053,0.8506937721337329
S1_dry,UQ_aux_full_fusion,1,42,5492,0.44092899103366107,0.5602280694207221,0.5738686945520005,0.5250085850021279,0.9359067734887109,14.902120837484583,0.18627651046855728,1.1204561388414442
S1_dry,UQ_aux_full_fusion,1,2025,5492,0.4322293383660146,0.5595613821353342,0.5738585469849516,0.5218830891621001,0.9386380189366351,14.81541750540459,0.18519271881755736,1.1191227642706685
S1_dry,UQ_aux_full_fusion,1,20260623,5492,0.43421409701398056,0.5738425961568767,0.5738603022180161,0.5273056651296244,0.9397305171158048,14.86628481669749,0.18582856020871863,1.1476851923137534
S1_dry,UQ_aux_full_fusion,1,20260715,5492,0.44441164889130724,0.5327547746076258,0.5738805523425758,0.5170156586138362,0.9408230152949745,14.731488271256216,0.1841436033907027,1.0655095492152515
S1_dry,UQ_aux_full_fusion,1,20260718,5492,0.4355258712261502,0.5647553885321677,0.573853293996785,0.5247115179183677,0.9379096868171887,14.762298126248487,0.1845287265781061,1.1295107770643353
S1_dry,UQ_aux_full_fusion,3,42,5322,0.3904208801689563,0.5679381874798385,0.562506472387963,0.5069551800122526,0.9470124013528749,14.72199405310343,0.18402492566379286,1.135876374959677
S1_dry,UQ_aux_full_fusion,3,2025,5322,0.39461946421124705,0.5694781462530676,0.5625467511327233,0.5088814538656793,0.9404359263434799,14.779675038225532,0.18474593797781916,1.1389562925061352
S1_dry,UQ_aux_full_fusion,3,20260623,5322,0.3951300444884302,0.5560706467253962,0.5625337991531705,0.5045781634556656,0.946260804208944,14.870591543169677,0.18588239428962097,1.1121412934507924
S1_dry,UQ_aux_full_fusion,3,20260715,5322,0.3956011232958839,0.5740436332112011,0.5625283370112985,0.5107243645061278,0.9472003006388575,14.69982151589148,0.1837477689486435,1.1480872664224022
S1_dry,UQ_aux_full_fusion,3,20260718,5322,0.3894928814100619,0.5484446486509281,0.5627567712904954,0.5002314337838284,0.946260804208944,14.858547726774162,0.18573184658467704,1.0968892973018562
S1_dry,UQ_aux_full_fusion,6,42,5123,0.3776035142973394,0.5637675848831871,0.5683641685956446,0.5032450892587237,0.9461253171969549,14.422317575621879,0.1802789696952735,1.1275351697663742
S1_dry,UQ_aux_full_fusion,6,2025,5123,0.37787289622238135,0.545201141481029,0.5684538578396083,0.4971759651810062,0.9467109115752489,14.426402541545366,0.18033003176931708,1.090402282962058
S1_dry,UQ_aux_full_fusion,6,20260623,5123,0.37368051749338704,0.5382846440976656,0.5683933623107462,0.49345284130059963,0.943587741557681,14.439962285444091,0.18049952856805113,1.0765692881953313
S1_dry,UQ_aux_full_fusion,6,20260715,5123,0.3710591065285612,0.517659825457741,0.5683646619820213,0.4856945313227745,0.9508100722233066,14.457486507275037,0.18071858134093796,1.035319650915482
S1_dry,UQ_aux_full_fusion,6,20260718,5123,0.37114783491260855,0.5282960449045998,0.5683985037750601,0.4892807945307562,0.9402693734140152,14.38838490522073,0.17985481131525913,1.0565920898091996
S2_rain,UQ_T1_traffic_only,1,42,8149,0.2841833109240662,0.30480769140206315,0.5384149452150495,0.37580198251372626,0.9613449503006504,13.351098075470672,0.16900124146165407,0.6096153828041263
S2_rain,UQ_T1_traffic_only,1,2025,8149,0.28222906480377946,0.29950776101914134,0.5384010720097931,0.3733792992775713,0.9639219536139404,13.240278090709761,0.16759845684442737,0.5990155220382827
S2_rain,UQ_T1_traffic_only,1,20260623,8149,0.28510493700863293,0.3103254185759783,0.538399103946197,0.3779431531769361,0.9661308135967603,13.462202169278134,0.17040762239592575,0.6206508371519566
S2_rain,UQ_T1_traffic_only,1,20260715,8149,0.2830687779066007,0.30763616513907505,0.5384007395988802,0.37636856088151865,0.9613449503006504,13.238810877812275,0.1675798845292693,0.6152723302781501
S2_rain,UQ_T1_traffic_only,1,20260718,8149,0.2856789300801315,0.30915193748497527,0.5384524292383539,0.3777610989344869,0.9614676647441404,13.36600599173081,0.16918994926241532,0.6183038749699505
S2_rain,UQ_T1_traffic_only,3,42,8217,0.3952759362636611,0.45032816349887,0.5454114111958017,0.463671836986111,0.9555798953389315,14.119074830873119,0.17872246621358379,0.90065632699774
S2_rain,UQ_T1_traffic_only,3,2025,8217,0.39615468758365685,0.4110177774650998,0.54546580788746,0.4508794243120722,0.952050626749422,14.0214277643262,0.17748642739653417,0.8220355549301996
S2_rain,UQ_T1_traffic_only,3,20260623,8217,0.39330771681716065,0.41605314466224125,0.5454108310758425,0.4515905641850815,0.948643057076792,14.034305919764671,0.17764944202233762,0.8321062893244825
S2_rain,UQ_T1_traffic_only,3,20260715,8217,0.39911404023919644,0.4590806829910492,0.5454340033306615,0.46787624218696905,0.9564317877570889,14.07288860285298,0.1781378304158605,0.9181613659820984
S2_rain,UQ_T1_traffic_only,3,20260718,8217,0.4034522913923167,0.4730418751793098,0.5454191014063657,0.4739710893259974,0.948643057076792,14.075019376359457,0.1781648022323982,0.9460837503586196
S2_rain,UQ_T1_traffic_only,6,42,8264,0.41553974323558895,0.44261047304657514,0.5416323393842954,0.4665941852221532,0.9480880929332043,14.498980905056461,0.18470039369498678,0.8852209460931503
S2_rain,UQ_T1_traffic_only,6,2025,8264,0.40451541665909013,0.4341699030369318,0.541506157009092,0.46006382556837133,0.9497821878025169,14.512894067505783,0.1848776314331947,0.8683398060738636
S2_rain,UQ_T1_traffic_only,6,20260623,8264,0.4150974522832518,0.4198267230221286,0.5415393026846773,0.45882115933001927,0.9450629235237173,14.462683701907562,0.1842380089414976,0.8396534460442572
S2_rain,UQ_T1_traffic_only,6,20260715,8264,0.41747527819519936,0.43661268775253076,0.5415260250086018,0.4652046636521106,0.9430058083252663,14.500476264307368,0.1847194428574187,0.8732253755050615
S2_rain,UQ_T1_traffic_only,6,20260718,8264,0.4244763390600162,0.42430931947122813,0.5415186884557871,0.46343478232901053,0.94905614714424,14.454146841950246,0.18412925913312417,0.8486186389424563
S2_rain,UQ_T2_best_environmental_M4_pressure,1,42,8149,0.2875436515190189,0.30868993031933256,0.5383974001354673,0.37821032732460624,0.9570499447785005,13.273122143812714,0.16801420435205966,0.6173798606386651
S2_rain,UQ_T2_best_environmental_M4_pressure,1,2025,8149,0.2838102279959873,0.3007335969459383,0.5384132797432207,0.37431903489504875,0.9555773714566205,13.259932509462208,0.16784724695521783,0.6014671938918766
S2_rain,UQ_T2_best_environmental_M4_pressure,1,20260623,8149,0.2941406439002825,0.31189654253497273,0.5383869234572634,0.38147470329750616,0.9565590870045404,13.579442547704415,0.17189167781904324,0.6237930850699455
S2_rain,UQ_T2_best_environmental_M4_pressure,1,20260715,8149,0.28813719224572876,0.31058882227527945,0.5383962545559914,0.37904075635899986,0.9609768069701804,13.321370998442955,0.16862494934737918,0.6211776445505589
S2_rain,UQ_T2_best_environmental_M4_pressure,1,20260718,8149,0.28624184188674245,0.31012184404276505,0.5383900657491844,0.37825125055956393,0.9587679469873605,13.311849551049313,0.16850442469682675,0.6202436880855301
