reliability_group,model,horizon,seed,sample_count,Pinball_q05,Pinball_q50,Pinball_q95,Pinball_Loss,PICP,MPIW,PINAW,median_MAE
High,UQ_T1_traffic_only,1,42,6319,0.30824326978376493,0.1982536349120746,0.25863144369437796,0.25504278279673914,0.9607532837474284,7.189112267703228,0.10054702472312207,0.3965072698241492
High,UQ_T1_traffic_only,1,2025,6319,0.304278634329879,0.19593274810303238,0.25863669112166743,0.2529493578515263,0.9664503877195759,7.058978346824495,0.09872696988565727,0.39186549620606476
High,UQ_T1_traffic_only,1,20260623,6319,0.30730219915105983,0.2022032432115461,0.25863196413281964,0.2560458021651419,0.9694571925937648,7.429125967990147,0.10390385969216988,0.4044064864230922
High,UQ_T1_traffic_only,1,20260715,6319,0.3035287474318195,0.19374885836777986,0.2586299656878397,0.251969190495813,0.9659756290552303,7.025267806115794,0.09825549379182928,0.3874977167355597
High,UQ_T1_traffic_only,1,20260718,6319,0.3041117587408738,0.20465209231683773,0.2586366654649759,0.2558001721742291,0.9656591232789998,7.24182828820795,0.10128431172318811,0.40930418463367546
High,UQ_T1_traffic_only,3,42,6204,0.34010654993014205,0.25341462105185963,0.2689997109499847,0.28750696064399545,0.9671179883945842,7.977710768762979,0.11236212350370392,0.5068292421037193
High,UQ_T1_traffic_only,3,2025,6204,0.3363235358035926,0.24140361076320546,0.26900690187568616,0.2822446828141614,0.9664732430689877,7.893809189418298,0.11118041111856758,0.4828072215264109
High,UQ_T1_traffic_only,3,20260623,6204,0.33821839370088064,0.2455923251380158,0.2690180264773639,0.2842762484387535,0.9629271437782077,7.980219709419727,0.1123974606960525,0.4911846502760316
High,UQ_T1_traffic_only,3,20260715,6204,0.33894324762293937,0.2579416616896058,0.26900656270950113,0.2886304906740154,0.9693745970341715,7.9586340681650345,0.11209343757978922,0.5158833233792116
High,UQ_T1_traffic_only,3,20260718,6204,0.33695338505610284,0.2516793608281168,0.26900230456290153,0.2858783501490404,0.9638942617666022,7.906748528176165,0.11136265532642486,0.5033587216562336
High,UQ_T1_traffic_only,6,42,6000,0.34809366790453594,0.23124337323506672,0.27618923873901396,0.2851754266262055,0.9641666666666666,8.224408272743226,0.11749154675347466,0.46248674647013344
High,UQ_T1_traffic_only,6,2025,6000,0.3454226916631063,0.23027781105041503,0.27616348603566515,0.28395466291639554,0.963,8.237803100585937,0.11768290143694196,0.46055562210083006
High,UQ_T1_traffic_only,6,20260623,6000,0.3468733787854512,0.22418716112772624,0.2761771207173668,0.28241255354351474,0.9611666666666666,8.241834562301635,0.11774049374716622,0.4483743222554525
High,UQ_T1_traffic_only,6,20260715,6000,0.35137557633717853,0.22815983867645265,0.27621603711446147,0.28525048404269754,0.9626666666666667,8.25141206741333,0.11787731524876185,0.4563196773529053
High,UQ_T1_traffic_only,6,20260718,6000,0.35232041064898173,0.2265794407526652,0.2761579527537031,0.28501926805178335,0.9638333333333333,8.228802408536275,0.11755432012194679,0.4531588815053304
High,UQ_T2_best_environmental_M4_pressure,1,42,6319,0.3052311587133708,0.195120267993307,0.258633756599843,0.25299506110217357,0.9602785250830828,7.134080265948885,0.09977734637690748,0.390240535986614
High,UQ_T2_best_environmental_M4_pressure,1,2025,6319,0.3020814929436347,0.194386992806931,0.258634478247115,0.2517009879992269,0.9594872606425068,7.043482987370214,0.09851025157161139,0.388773985613862
High,UQ_T2_best_environmental_M4_pressure,1,20260623,6319,0.31695075218465096,0.1964853989736512,0.25863182739774593,0.257355992852016,0.9643931001740782,7.6212873457353085,0.10659143140888544,0.3929707979473024
High,UQ_T2_best_environmental_M4_pressure,1,20260715,6319,0.30785469580987035,0.19863712487671265,0.2586321066632871,0.2550413091166233,0.965817376167115,7.1125482944658165,0.09947619992259883,0.3972742497534253
High,UQ_T2_best_environmental_M4_pressure,1,20260718,6319,0.3031936541371829,0.1947012051767819,0.25863424588804274,0.2521763684006692,0.9623358126285805,7.133037478396703,0.09976276193561823,0.3894024103535638
High,UQ_T2_best_environmental_M4_pressure,3,42,6204,0.340613661067552,0.2622507926650696,0.2690137894210473,0.29062608105122295,0.9608317214700194,8.006283690282254,0.11276455901805991,0.5245015853301392
High,UQ_T2_best_environmental_M4_pressure,3,2025,6204,0.3433654171816385,0.25495019380236195,0.26902561996307495,0.28911374364902515,0.9606705351386202,8.021532141109345,0.11297932593111754,0.5099003876047239
High,UQ_T2_best_environmental_M4_pressure,3,20260623,6204,0.3357625319372063,0.24815260403237752,0.26901525621026834,0.28431013072661737,0.9597034171502257,7.963251611327141,0.11215847339897382,0.49630520806475503
High,UQ_T2_best_environmental_M4_pressure,3,20260715,6204,0.3380937070403846,0.2610447392934065,0.2690048685387442,0.28938110495751174,0.9659896840747905,7.952380826287236,0.11200536375052444,0.522089478586813
High,UQ_T2_best_environmental_M4_pressure,3,20260718,6204,0.34150658634537495,0.24441327409233915,0.2689984603515372,0.2849727735964171,0.9629271437782077,7.916738222369373,0.11150335524463906,0.4888265481846783
High,UQ_T2_best_environmental_M4_pressure,6,42,6000,0.3569173500378926,0.22356805165608723,0.2761593701044721,0.28554825726615063,0.955,8.282011557896931,0.11831445082709902,0.44713610331217446
High,UQ_T2_best_environmental_M4_pressure,6,2025,6000,0.35298965034484864,0.2337171303431193,0.27616479568481467,0.28762385879092756,0.962,8.326438466389973,0.11894912094842819,0.4674342606862386
High,UQ_T2_best_environmental_M4_pressure,6,20260623,6000,0.35713528332710265,0.22940416940053304,0.27617290852864607,0.28757078708542727,0.9591666666666666,8.372219452857971,0.11960313504082816,0.4588083388010661
High,UQ_T2_best_environmental_M4_pressure,6,20260715,6000,0.3598571430683136,0.22885670598347982,0.2761816715876264,0.2882985068798066,0.9603333333333334,8.298309659004211,0.1185472808429173,0.45771341196695964
High,UQ_T2_best_environmental_M4_pressure,6,20260718,6000,0.35845777797698974,0.22443536027272543,0.27616244297027615,0.28635186040666377,0.9595,8.310483680725097,0.11872119543892996,0.44887072054545085
High,UQ_aux_full_fusion,1,42,6319,0.3100582616618585,0.31279356084607185,0.258775342176715,0.29387572156154845,0.9640765943978478,8.117780416482308,0.113535390440312,0.6255871216921437
High,UQ_aux_full_fusion,1,2025,6319,0.3112530216157276,0.2747712691461461,0.2586459470900731,0.28155674595064895,0.9613862952998892,8.052023391252757,0.11261571176577281,0.5495425382922922
High,UQ_aux_full_fusion,1,20260623,6319,0.31390697988156074,0.3179192423047022,0.2586710753141279,0.2968324325001303,0.9640765943978478,8.122266818005972,0.11359813731476884,0.6358384846094044
High,UQ_aux_full_fusion,1,20260715,6319,0.31781923644507604,0.2604437935369304,0.25869592704960115,0.2789863190105359,0.9621775597404653,7.993840629455692,0.11180196684553415,0.5208875870738608
High,UQ_aux_full_fusion,1,20260718,6319,0.3123746660657841,0.2816362144034353,0.2586588334501462,0.2842232379731219,0.9618610539642348,7.954676622528689,0.11125421849690474,0.5632724288068706
High,UQ_aux_full_fusion,3,42,6204,0.3180758078431868,0.38230556676189487,0.2690682345094566,0.3231498697048461,0.9622823984526112,8.66780792952045,0.12208180182423169,0.7646111335237897
High,UQ_aux_full_fusion,3,2025,6204,0.3239767102408148,0.40367463355983635,0.2691381268467466,0.3322631568824659,0.9626047711154094,8.783951141079497,0.12371762170534502,0.8073492671196727
High,UQ_aux_full_fusion,3,20260623,6204,0.3268651741385691,0.3929155397076979,0.26905128536187495,0.32961066640271397,0.9613152804642167,8.7424274905123,0.12313278155651128,0.7858310794153958
High,UQ_aux_full_fusion,3,20260715,6204,0.3213618801763794,0.4172987181628465,0.2690733077985716,0.3359113020459325,0.963571889103804,8.636374729360634,0.1216390806952202,0.834597436325693
High,UQ_aux_full_fusion,3,20260718,6204,0.3227042328688807,0.3794748214350294,0.26916726980572153,0.3237821080365439,0.965344938749194,8.695114525266803,0.12246640176432116,0.7589496428700588
High,UQ_aux_full_fusion,6,42,6000,0.3517601830323538,0.4322121540705363,0.27618568159739204,0.35338600623342736,0.962,9.161555893262227,0.1308793699037461,0.8644243081410726
High,UQ_aux_full_fusion,6,2025,6000,0.345995413351059,0.3774922555287679,0.2762855827331545,0.33325775053766044,0.9648333333333333,9.089876666069031,0.1298553809438433,0.7549845110575358
High,UQ_aux_full_fusion,6,20260623,6000,0.3401934001763661,0.4019162791570028,0.27621310227712015,0.3394409272034964,0.9613333333333334,9.192338206926982,0.13131911724181403,0.8038325583140056
High,UQ_aux_full_fusion,6,20260715,6000,0.34822609996795656,0.3870841859181722,0.2761871418635053,0.337165809249878,0.9633333333333334,9.23245694732666,0.13189224210466657,0.7741683718363443
High,UQ_aux_full_fusion,6,20260718,6000,0.3425508663495382,0.3921253547668457,0.2762311601638796,0.33696912709342114,0.9565,9.056177970250447,0.1293739710035778,0.7842507095336914
Medium,UQ_T1_traffic_only,1,42,2545,0.283364503107277,0.28249466901678,0.5248776605602337,0.36357894422809683,0.9658153241650295,12.819232240688121,0.18055256677025522,0.56498933803356
Medium,UQ_T1_traffic_only,1,2025,2545,0.2823491692683551,0.2739456334142179,0.5248807211615486,0.36039184128137386,0.9650294695481336,12.6420642500542,0.17805724295850986,0.5478912668284358
Medium,UQ_T1_traffic_only,1,20260623,2545,0.28477630697673806,0.2893743196498669,0.5249072179438327,0.3663526148568126,0.9693516699410609,12.984682795856228,0.1828828562796652,0.5787486392997337
Medium,UQ_T1_traffic_only,1,20260715,2545,0.2780025181648539,0.2889941899387682,0.5248860325091952,0.3639609135376058,0.9599214145383104,12.645137713419196,0.17810053117491825,0.5779883798775364
Medium,UQ_T1_traffic_only,1,20260718,2545,0.2804141637431147,0.2926612172004984,0.5248912918450561,0.3659888909295564,0.9603143418467583,12.746013800990136,0.17952132114070615,0.5853224344009968
Medium,UQ_T1_traffic_only,3,42,2526,0.3312205873777823,0.37665942728944174,0.5336427931736507,0.4138409359469583,0.9643705463182898,13.70746934140191,0.18399287706579745,0.7533188545788835
Medium,UQ_T1_traffic_only,3,2025,2526,0.3338320935234982,0.34125340371875656,0.5336056975835108,0.4028970649419219,0.9572446555819477,13.616770948952187,0.182775448979224,0.6825068074375131
Medium,UQ_T1_traffic_only,3,20260623,2526,0.33621838185302055,0.3476193821439645,0.5336196503748715,0.40581913812395215,0.9548693586698337,13.704875141122656,0.18395805558553902,0.695238764287929
Medium,UQ_T1_traffic_only,3,20260715,2526,0.3360565973479693,0.3980782494503453,0.5336398142061819,0.42259155366816553,0.9615993665874901,13.688741122930653,0.18374149158296177,0.7961564989006906
Medium,UQ_T1_traffic_only,3,20260718,2526,0.3358096199760528,0.3968911053921057,0.5336028314259731,0.4221011855980439,0.9548693586698337,13.651258414261697,0.18323836797666707,0.7937822107842114
Medium,UQ_T1_traffic_only,6,42,2481,0.3090564369530699,0.2830843439221334,0.513992918253618,0.36871123304294046,0.9645304312777107,13.185002739416982,0.19108699622343453,0.5661686878442668
Medium,UQ_T1_traffic_only,6,2025,2481,0.3047529436993244,0.2767369040843221,0.5138908677983317,0.3651269051939927,0.9625151148730351,13.084238202280693,0.18962664061276366,0.5534738081686442
Medium,UQ_T1_traffic_only,6,20260623,2481,0.30652499700543956,0.2604048328022955,0.5138860895094594,0.3602719731057314,0.9641273679967755,13.152870311221976,0.1906213088582895,0.520809665604591
Medium,UQ_T1_traffic_only,6,20260715,2481,0.3066950848774293,0.27488440613936915,0.5139233303954172,0.3651676071374052,0.9621120515921,13.206498753010674,0.19139853265232862,0.5497688122787383
Medium,UQ_T1_traffic_only,6,20260718,2481,0.31062540202696254,0.25962395035706426,0.5138532179202445,0.36136752343475714,0.9641273679967755,13.139867418190011,0.19043286113318858,0.5192479007141285
Medium,UQ_T2_best_environmental_M4_pressure,1,42,2545,0.2866529639343382,0.28760252767086963,0.5248941127724643,0.36638320145922404,0.9524557956777996,12.715318092990717,0.17908898722522137,0.5752050553417393
Medium,UQ_T2_best_environmental_M4_pressure,1,2025,2545,0.28121716744773284,0.27213268542336577,0.5248818283980399,0.3594105604230462,0.9591355599214145,12.640893021079552,0.17804074677576834,0.5442653708467315
Medium,UQ_T2_best_environmental_M4_pressure,1,20260623,2545,0.29439323755050684,0.2784930575807343,0.5248742072474516,0.36592016745956424,0.9567779960707269,13.05625851524368,0.1838909650034321,0.5569861151614686
Medium,UQ_T2_best_environmental_M4_pressure,1,20260715,2545,0.2831165119613318,0.2789089052990986,0.5248960216199958,0.36230714629347543,0.9599214145383104,12.684521469386013,0.17865523196318328,0.5578178105981972
Medium,UQ_T2_best_environmental_M4_pressure,1,20260718,2545,0.28203398346666736,0.2800361745718186,0.5248827203926736,0.3623176261437198,0.9579567779960707,12.693897023978543,0.1787872820278668,0.5600723491436372
Medium,UQ_T2_best_environmental_M4_pressure,3,42,2526,0.3364838948631136,0.41365353832713025,0.5336885638021804,0.4279419989974748,0.9560570071258907,13.735497633238586,0.18436909574816893,0.8273070766542605
