model,horizon,seed,nominal_coverage,finite_sample_quantile_level,conformal_correction,calibration_samples,calibration_start,calibration_end,calibration_partition,test_used_for_calibration,calibration_quantile_crossing_rows_before_sort,test_quantile_crossing_rows_before_sort,quantile_crossing_rule,nonconformity_rule,status
UQ_T2_best_environmental_M4_pressure,3,20260623,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,871,1538,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,3,20260715,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,397,1064,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,3,20260718,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,692,1496,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,6,42,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,827,1525,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,6,2025,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,749,1330,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,6,20260623,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,856,1637,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,6,20260715,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,940,1867,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,6,20260718,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,713,1454,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,1,42,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,526,1178,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,1,2025,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,558,944,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,1,20260623,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,913,1571,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,1,20260715,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1142,1518,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,1,20260718,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,903,1222,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,3,42,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,370,971,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,3,2025,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,445,1098,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,3,20260623,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,509,1150,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,3,20260715,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,618,1265,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,3,20260718,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,910,1783,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,6,42,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,894,1518,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,6,2025,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,840,1363,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,6,20260623,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,648,1405,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,6,20260715,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,782,1151,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_aux_full_fusion,6,20260718,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,933,1654,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
