model,horizon,seed_count,Pinball_Loss_mean,Pinball_Loss_std,PICP_mean,PICP_std,MPIW_mean,MPIW_std,PINAW_mean,PINAW_std,median_MAE_mean,median_MAE_std
UQ_T1_traffic_only,1,5,0.42003197256451397,0.0016974057891532134,0.9568360090902427,0.0018330034220402204,13.886484208479976,0.10050405153691809,0.1735810526059997,0.0012563006442114734,0.7471379199481397,0.009807910997103656
UQ_T1_traffic_only,3,5,0.4625615664766058,0.007937379813286474,0.9507053696727971,0.0032104349455742607,14.143784811514521,0.049808912824850844,0.17679731014393146,0.0006226114103106379,0.9025850754860489,0.0436473743033446
UQ_T1_traffic_only,6,5,0.4565543158396716,0.0030368538524016835,0.9472174497646971,0.002361964156711303,14.233285039889054,0.025405917023762648,0.17791606299861315,0.00031757396279703153,0.8611063766792943,0.017760032062592523
UQ_T2_best_environmental_M4_pressure,1,5,0.42177288030577753,0.002594594045698761,0.9515138186349974,0.0022413678746599783,13.870357551320225,0.13672984908446076,0.1733794693915028,0.001709123113555762,0.7491069069129614,0.009353891947931677
UQ_T2_best_environmental_M4_pressure,3,5,0.46592574777210355,0.005149022466350529,0.9471748282738754,0.0017989288341379048,14.114806143942905,0.03322051265899912,0.17643507679928636,0.0004152564082374869,0.9057468261031266,0.0273272285429796
UQ_T2_best_environmental_M4_pressure,6,5,0.457765368013303,0.002895622100745769,0.9433330843355494,0.002017297003369978,14.220371709304848,0.039283254327554036,0.17775464636631058,0.0004910406790944295,0.8615202514142357,0.01901401453039691
UQ_aux_full_fusion,1,5,0.4611972942650123,0.00612862185011891,0.9523348728099114,0.0008103812685542232,14.495708945734169,0.03384945868144844,0.1811963618216771,0.00042311823351809895,0.9280135910127022,0.037762407663128106
UQ_aux_full_fusion,3,5,0.5056452524510282,0.004922296675451325,0.9491099785803974,0.0011690074445191135,14.705768594221277,0.04594395541088506,0.18382210742776597,0.0005742994426360646,1.1054852995705908,0.025431903239503978
UQ_aux_full_fusion,6,5,0.5084212509583278,0.005746570547946857,0.947531186972436,0.002101960184455989,14.911802276881465,0.034749935536757225,0.18639752846101834,0.00043437419420946737,1.1322029037401498,0.03200537346716862
