model,horizon,seed,sample_count,nominal_coverage,Pinball_q05,Pinball_q50,Pinball_q95,Pinball_Loss,PICP,MPIW,PINAW,median_MAE
UQ_T1_traffic_only,1,42,13641,0.9,0.33466435890290036,0.37128900980007334,0.5526738270838658,0.4195423985956132,0.9551352540136354,13.918732584051508,0.17398415730064384,0.7425780196001467
UQ_T1_traffic_only,1,2025,13641,0.9,0.33316836239314396,0.3670459972012734,0.5526668328010537,0.41762706413182366,0.9564548053661756,13.786938816280573,0.17233673520350717,0.7340919944025468
UQ_T1_traffic_only,1,20260623,13641,0.9,0.3343805531097047,0.3793033319924481,0.5526558341907276,0.42211323976429344,0.9599736089729491,14.030871831953906,0.17538589789942383,0.7586066639848962
UQ_T1_traffic_only,1,20260715,13641,0.9,0.33393242561033276,0.3727733261659867,0.552666755338174,0.41979083570483117,0.9563081885492266,13.794855253987102,0.17243569067483877,0.7455466523319734
UQ_T1_traffic_only,1,20260718,13641,0.9,0.33313361140571984,0.3774331347105676,0.5526922277617378,0.4210863246260084,0.9563081885492266,13.901022556126795,0.17376278195158495,0.7548662694211352
UQ_T1_traffic_only,3,42,13539,0.9,0.38373647509917996,0.45617812679546327,0.5521873411923416,0.4640339810289949,0.9530245956126745,14.209880102349047,0.17762350127936308,0.9123562535909265
UQ_T1_traffic_only,3,2025,13539,0.9,0.38223099641992225,0.4267337327694134,0.5522238141668545,0.4537295144520634,0.9508826353497304,14.085328227845523,0.17606660284806902,0.8534674655388268
UQ_T1_traffic_only,3,20260623,13539,0.9,0.38240881429675483,0.4302142670344933,0.5521865616856236,0.4549365476722906,0.9464509934263978,14.104774523559724,0.17630968154449655,0.8604285340689866
UQ_T1_traffic_only,3,20260715,13539,0.9,0.38511262226337184,0.4703541132361104,0.5521635704637855,0.4692101019877559,0.9544279488883964,14.167346544249545,0.17709183180311933,0.9407082264722209
UQ_T1_traffic_only,3,20260718,13539,0.9,0.3875672904821185,0.47298244887964175,0.5521433223640125,0.4708976872419243,0.9487406750867863,14.151594659568763,0.17689493324460953,0.9459648977592835
UQ_T1_traffic_only,6,42,13387,0.9,0.38724610617262845,0.44154643642009217,0.5519047924337251,0.46023244500881527,0.94785986404721,14.24090514650015,0.1780113143312519,0.8830928728401843
UQ_T1_traffic_only,6,2025,13387,0.9,0.37994715580976224,0.4332942934863338,0.5517906768777746,0.45501070872462357,0.9501008441024875,14.265602182200377,0.1783200272775047,0.8665885869726676
UQ_T1_traffic_only,6,20260623,13387,0.9,0.3858562125968748,0.41937674594137414,0.5518143113309335,0.45234908995639417,0.9458429819974602,14.213561455058475,0.17766951818823093,0.8387534918827483
UQ_T1_traffic_only,6,20260715,13387,0.9,0.38851922032296493,0.4346996020138054,0.5518257716651853,0.45834819800065185,0.9439754986180623,14.244226519660952,0.1780528314957619,0.8693992040276108
UQ_T1_traffic_only,6,20260718,13387,0.9,0.3948425535252036,0.42384886383663023,0.5518019951617846,0.45683113750787285,0.9483080600582655,14.20212989602531,0.17752662370031638,0.8476977276732605
UQ_T2_best_environmental_M4_pressure,1,42,13641,0.9,0.33817275861571344,0.37309690630249803,0.5526604805093355,0.421310048475849,0.9497104317865259,13.78456141785979,0.17230701772324736,0.7461938126049961
UQ_T2_best_environmental_M4_pressure,1,2025,13641,0.9,0.3352705547776567,0.36842060753278616,0.552677318478477,0.41878949359630663,0.9489040392933069,13.778843754067221,0.17223554692584025,0.7368412150655723
UQ_T2_best_environmental_M4_pressure,1,20260623,13641,0.9,0.3435740111047384,0.38120179735279774,0.552648502119423,0.42580810352565307,0.9517630672238105,14.109356598650969,0.1763669574831371,0.7624035947055955
UQ_T2_best_environmental_M4_pressure,1,20260715,13641,0.9,0.33797426236339106,0.376272717910676,0.5526587167326971,0.42230189900225473,0.9544021699288908,13.842763895862971,0.17303454869828713,0.752545435821352
UQ_T2_best_environmental_M4_pressure,1,20260718,13641,0.9,0.33553785674777015,0.37377523818364566,0.5526514758550569,0.4206548569288242,0.9527893849424529,13.83626209016018,0.17295327612700223,0.7475504763672913
UQ_T2_best_environmental_M4_pressure,3,42,13539,0.9,0.3933092206696726,0.4723899811583314,0.5521753280093611,0.47262484327912174,0.9470418790161755,14.111526997546006,0.17639408746932508,0.9447799623166628
UQ_T2_best_environmental_M4_pressure,3,2025,13539,0.9,0.39716554267410514,0.45428774474651357,0.5521513473724319,0.46786821159768355,0.9464509934263978,14.166581223956484,0.17708226529945606,0.9085754894930271
UQ_T2_best_environmental_M4_pressure,3,20260623,13539,0.9,0.38878177602249375,0.4343773046389703,0.5521508751772071,0.4584366519462237,0.9457862471378979,14.100899952959562,0.17626124941199453,0.8687546092779406
UQ_T2_best_environmental_M4_pressure,3,20260715,13539,0.9,0.3935750948483803,0.4485892173907404,0.5521765521837224,0.46478028814094774,0.9502917497599527,14.075931295350802,0.17594914119188504,0.8971784347814808
UQ_T2_best_environmental_M4_pressure,3,20260718,13539,0.9,0.3908873416109745,0.45472281732326053,0.5521460727553876,0.4659187438965409,0.9463032720289534,14.119091249901679,0.17648864062377098,0.9094456346465211
UQ_T2_best_environmental_M4_pressure,6,42,13387,0.9,0.39037550517796243,0.42104581647807243,0.5518074227348247,0.4544095814636198,0.939792335848211,14.17629194170595,0.17720364927132437,0.8420916329561449
UQ_T2_best_environmental_M4_pressure,6,2025,13387,0.9,0.38742839247311095,0.4435862325843725,0.5517804959075561,0.4609317069883465,0.9446477926346456,14.25173976026515,0.17814674700331437,0.887172465168745
UQ_T2_best_environmental_M4_pressure,6,20260623,13387,0.9,0.3904721451703273,0.4235945446065411,0.5518292539620356,0.455298647912968,0.9444236946291178,14.269542512005328,0.1783692814000666,0.8471890892130822
UQ_T2_best_environmental_M4_pressure,6,20260715,13387,0.9,0.39149377612293973,0.4374288809863146,0.5518039020829844,0.4602421863974129,0.9441995966235901,14.193105700338911,0.17741382125423638,0.8748577619726292
UQ_T2_best_environmental_M4_pressure,6,20260718,13387,0.9,0.3938851435652696,0.4281451538802885,0.5518038544669455,0.4579447173041678,0.9436020019421827,14.211178632208895,0.1776397329026112,0.856290307760577
UQ_aux_full_fusion,1,42,13641,0.9,0.36854614525996265,0.4768015402396852,0.5527604884428766,0.4660360579808415,0.9516164504068617,14.537210401556427,0.18171513001945533,0.9536030804793704
UQ_aux_full_fusion,1,2025,13641,0.9,0.3637273579554058,0.45856987826155304,0.5526835139428199,0.4583269167199262,0.9522762260831318,14.49585185985343,0.18119814824816788,0.9171397565231061
UQ_aux_full_fusion,1,20260623,13641,0.9,0.36656722792449314,0.4882817267322897,0.552675055863265,0.4691746701733493,0.9532292353932996,14.520739925964234,0.18150924907455293,0.9765634534645794
UQ_aux_full_fusion,1,20260715,13641,0.9,0.3712502998442657,0.4397303371710491,0.5527223244116078,0.4545676538089742,0.9530826185763507,14.459983696485578,0.18074979620606973,0.8794606743420982
UQ_aux_full_fusion,1,20260718,13641,0.9,0.36430789762801347,0.4566504951271788,0.5526851251707185,0.45788117264197026,0.9514698335899128,14.464758844811165,0.18080948556013957,0.9133009902543576
UQ_aux_full_fusion,3,42,13539,0.9,0.40724311599404606,0.5426447119086979,0.5521499971121684,0.5006792750049708,0.9498485855676194,14.685778357163958,0.18357222946454949,1.0852894238173958
