model,horizon,seed,epoch,training_smooth_l1,validation_MAE,learning_rate,max_preclip_gradient_norm,improved_checkpoint,stale_epochs,epoch_seconds
Formal_TCN_24h_causal,1,2025,1,0.3361422397982517,9.596680641174316,0.003,0.2058335840702057,True,0,0.6855165958404541
Formal_TCN_24h_causal,1,2025,2,0.2657059028368392,7.162555694580078,0.003,0.503520131111145,True,0,0.0429995059967041
Formal_TCN_24h_causal,1,2025,3,0.1567731957336738,5.012721538543701,0.003,0.5280244946479797,True,0,0.0430004596710205
Formal_TCN_24h_causal,1,2025,4,0.1324959223997322,3.8079798221588135,0.003,0.7182260155677795,True,0,0.0480070114135742
Formal_TCN_24h_causal,1,2025,5,0.0863690364861618,3.498201608657837,0.003,0.3452595472335815,True,0,0.0410044193267822
Formal_TCN_24h_causal,1,2025,6,0.0692180173064815,2.515530824661255,0.003,0.3897264897823334,True,0,0.0409882068634033
Formal_TCN_24h_causal,1,2025,7,0.0457407613764271,2.1524407863616943,0.003,0.3142764866352081,True,0,0.0430004596710205
Formal_TCN_24h_causal,1,2025,8,0.0396418434199356,2.078298807144165,0.003,0.3469865620136261,True,0,0.0420055389404296
Formal_TCN_24h_causal,1,2025,9,0.0376593924016799,2.049222469329834,0.003,0.1717194467782974,True,0,0.0429944992065429
Formal_TCN_24h_causal,1,2025,10,0.0336602002032166,1.7103266716003418,0.003,0.101932592689991,True,0,0.040999412536621
Formal_TCN_24h_causal,1,2025,11,0.0320864079962439,1.478685736656189,0.003,0.1489494442939758,True,0,0.0429997444152832
Formal_TCN_24h_causal,1,2025,12,0.0301262487818291,1.509457230567932,0.003,0.0813471227884292,False,1,0.0419983863830566
Formal_TCN_24h_causal,1,2025,13,0.0296781151847693,1.4316250085830688,0.003,0.0678482502698898,True,0,0.0420026779174804
Formal_TCN_24h_causal,1,2025,14,0.0287316634305043,1.3843059539794922,0.003,0.0622956678271293,True,0,0.040999412536621
Formal_TCN_24h_causal,1,2025,15,0.0277546774412625,1.4259527921676636,0.003,0.0688450336456298,False,1,0.0400025844573974
Formal_TCN_24h_causal,1,2025,16,0.0277837034819739,1.3715089559555054,0.003,0.0587211214005947,True,0,0.0409972667694091
Formal_TCN_24h_causal,1,2025,17,0.0272205640009262,1.409134030342102,0.003,0.0702057629823684,False,1,0.0409989356994628
Formal_TCN_24h_causal,1,2025,18,0.0266919476960428,1.351969599723816,0.003,0.0497943237423896,True,0,0.0410003662109375
Formal_TCN_24h_causal,1,2025,19,0.0259470823011092,1.3400670289993286,0.003,0.0647618845105171,True,0,0.0420045852661132
Formal_TCN_24h_causal,1,2025,20,0.0257985610066325,1.3239680528640747,0.003,0.0455652065575122,True,0,0.0409960746765136
Formal_TCN_24h_causal,1,2025,21,0.024857958549769,1.3061301708221436,0.003,0.0640519931912422,True,0,0.0429995059967041
Formal_TCN_24h_causal,1,2025,22,0.0251131575872635,1.315704107284546,0.003,0.0459358841180801,False,1,0.0399985313415527
Formal_TCN_24h_causal,1,2025,23,0.024743054031897,1.2628018856048584,0.003,0.0471387691795825,True,0,0.0410032272338867
Formal_TCN_24h_causal,1,2025,24,0.0244047464063456,1.293423771858215,0.003,0.0217232815921306,False,1,0.0409967899322509
Formal_TCN_24h_causal,1,2025,25,0.0241369988522424,1.2388250827789309,0.003,0.0399028547108173,True,0,0.0399999618530273
Formal_TCN_24h_causal,1,2025,26,0.0239088885537857,1.2920364141464231,0.003,0.0471752099692821,False,1,0.0410001277923584
Formal_TCN_24h_causal,1,2025,27,0.0235470131437097,1.2372337579727173,0.003,0.0282591618597507,True,0,0.0400078296661376
Formal_TCN_24h_causal,1,2025,28,0.023641360751211,1.2920212745666504,0.003,0.0241519063711166,False,1,0.0399920940399169
Formal_TCN_24h_causal,1,2025,29,0.0230718254619577,1.2336333990097046,0.003,0.0326122678816318,True,0,0.0420019626617431
Formal_TCN_24h_causal,1,2025,30,0.0229712488422113,1.2579269409179688,0.003,0.0532623417675495,False,1,0.0389978885650634
Formal_TCN_24h_causal,1,2025,31,0.0231101674796558,1.2251572608947754,0.003,0.0277622584253549,True,0,0.0420126914978027
Formal_TCN_24h_causal,1,2025,32,0.0232649366135324,1.224573254585266,0.003,0.0252452455461025,True,0,0.0409893989562988
Formal_TCN_24h_causal,1,2025,33,0.0230134247567061,1.2248822450637815,0.003,0.0274584759026765,False,1,0.0409982204437255
Formal_TCN_24h_causal,1,2025,34,0.0230495950234725,1.2102903127670288,0.003,0.0427858494222164,True,0,0.0400018692016601
Formal_TCN_24h_causal,1,2025,35,0.0231452208925166,1.2242556810379028,0.003,0.030019449070096,False,1,0.0399980545043945
Formal_TCN_24h_causal,1,2025,36,0.0227576528715198,1.17235267162323,0.003,0.0568576343357563,True,0,0.041001558303833
Formal_TCN_24h_causal,1,2025,37,0.0227844445946703,1.2086952924728394,0.003,0.0799216255545616,False,1,0.0409984588623046
Formal_TCN_24h_causal,1,2025,38,0.0228492726031683,1.116046667098999,0.003,0.0692227706313133,True,0,0.0409998893737793
Formal_TCN_24h_causal,1,2025,39,0.022611874438311,1.2452945709228516,0.003,0.0554440803825855,False,1,0.0410029888153076
Formal_TCN_24h_causal,1,2025,40,0.0225442783926591,1.1723169088363647,0.003,0.0808222517371177,False,2,0.0399971008300781
Formal_TCN_24h_causal,1,2025,41,0.0226695920489307,1.184087157249451,0.003,0.0809151828289032,False,3,0.0399999618530273
Formal_TCN_24h_causal,1,2025,42,0.0224131373657474,1.1789774894714355,0.003,0.0566123723983764,False,4,0.0389997959136962
Formal_TCN_24h_causal,1,2025,43,0.0228462856021292,1.194515824317932,0.003,0.081945039331913,False,5,0.0400011539459228
Formal_TCN_24h_causal,1,2025,44,0.0224095574715626,1.172793984413147,0.0015,0.0934796780347824,False,6,0.0399990081787109
Formal_TCN_24h_causal,1,2025,45,0.0222335072357488,1.1724859476089478,0.0015,0.0673704072833061,False,7,0.0400025844573974
Formal_TCN_24h_causal,1,2025,46,0.0222127541188979,1.1422253847122192,0.0015,0.0503243207931518,False,8,0.0389974117279052
