experiment,model,horizon,split,seed_count,sample_count_per_seed,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
E0_baselines,Persistence,1,test,5,13641,1.0957725484446401,0.0,3.3019283054877504,0.0,1.5332773420380361,0.0,0.9578308842962986,1.2412670766236366e-16
E0_baselines,Historical_Average,1,test,5,13641,1.9635196149404153,2.482534153247273e-16,3.8948005161231776,4.965068306494546e-16,2.881216601089641,0.0,0.941328167445693,1.2412670766236366e-16
E0_baselines,Seasonal_Historical_Average,1,test,5,13641,1.1897261247313478,0.0,2.8137883518093068,0.0,1.6297435099945499,0.0,0.9693773993800037,0.0
E0_baselines,Ridge,1,test,5,13641,1.2248342680103215,0.0,2.753867582013378,0.0,1.6541906504127735,0.0,0.9706677537253301,0.0
E0_baselines,XGBoost_traffic_baseline,1,test,5,13641,0.999443819461626,0.002586709153030285,2.4467392285999745,0.005116952003715677,1.3175941170010574,0.0025993917229505327,0.9768454627921332,9.678161089017043e-05
E0_baselines,Persistence,3,test,5,13539,1.7023487702193663,0.0,4.44246621009701,0.0,2.5210106081042296,0.0,0.9234560873407126,1.2412670766236366e-16
E0_baselines,Historical_Average,3,test,5,13539,1.962860251545619,0.0,3.895039395485275,0.0,2.875785203476432,0.0,0.9411581794935175,0.0
E0_baselines,Seasonal_Historical_Average,3,test,5,13539,1.1933606730272843,0.0,2.8219007225198287,0.0,1.6332112530851397,0.0,0.9691151246291538,0.0
E0_baselines,Ridge,3,test,5,13539,1.9627107097252785,0.0,3.56683633855056,4.965068306494546e-16,2.7098409748921513,0.0,0.9506566357233075,0.0
E0_baselines,XGBoost_traffic_baseline,3,test,5,13539,1.1750325139711104,0.002457248924373387,2.711122036069916,0.006688206278005866,1.5935195747997284,0.0030451833453151726,0.9714922697914631,0.00014076004146941528
E0_baselines,Persistence,6,test,5,13387,2.260598590672543,0.0,5.473457738460892,0.0,3.459561029886224,0.0,0.8836324949002405,0.0
E0_baselines,Historical_Average,6,test,5,13387,1.9715711113620737,2.482534153247273e-16,3.9070682739421883,0.0,2.8879742901320737,0.0,0.9407060769264028,1.2412670766236366e-16
E0_baselines,Seasonal_Historical_Average,6,test,5,13387,1.1873915649234055,0.0,2.8241783082140626,0.0,1.6272325458736834,0.0,0.9690192154966674,0.0
E0_baselines,Ridge,6,test,5,13387,2.25735998811221,0.0,3.7822465027898473,0.0,3.0974776661527876,0.0,0.9444341650153365,0.0
E0_baselines,XGBoost_traffic_baseline,6,test,5,13387,1.2165797705586334,0.004772818161615394,2.752888784454187,0.015362858515354273,1.6519030176401261,0.008417650069807887,0.9705628108832547,0.000328305207901891
E0_baselines,Formal_TCN_24h_causal,1,test,5,13641,1.4480195088187635,0.039393748821286295,3.350212433859537,0.27752189005448663,1.9299375319739074,0.05140294055049739,0.9563502776451369,0.006842135193501268
E0_baselines,Formal_TCN_24h_causal,3,test,5,13539,1.6889338083884962,0.1417245750234204,3.919842546840885,0.853218973030357,2.2861790088315366,0.2246795681341127,0.9381476207558389,0.02850600824705102
E0_baselines,Formal_TCN_24h_causal,6,test,5,13387,1.7097650763754655,0.09753448862491727,3.5003591539370786,0.2306365620889534,2.285718878362438,0.11261925097642653,0.952242767949828,0.006222144696007431
