panel,horizon,row_order,row_label,scenario,scenario_label,reliability_group,reliability_definition,column_order,experiment,configuration,sample_count_mean,baseline_sample_count,MAE_traffic_only,MAE_mean,delta_MAE,delta_convention,seed_count,common_vmin,common_vcenter,common_vmax
(a)  1-h forecast,1,7,Elevated AOD — Medium,S7_elevated_aod,Elevated AOD,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,591.0,591.0,0.7449498679499402,0.7744101776622206,0.02946030971228042,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,8,Elevated AOD — Low,S7_elevated_aod,Elevated AOD,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,1393.0,1393.0,1.5982031856846313,1.6343300094659263,0.03612682378129506,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,8,Elevated AOD — Low,S7_elevated_aod,Elevated AOD,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1393.0,1393.0,1.5982031856846313,1.70572960591824,0.10752642023360881,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,8,Elevated AOD — Low,S7_elevated_aod,Elevated AOD,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,1393.0,1393.0,1.5982031856846313,1.706294880593385,0.10809169490875381,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,9,Compound — High,S8_rain_elevated_atmospheric_pollution,Compound,High,frozen training-defined classification,0,E3_meteorology,Meteorology,736.0,736.0,0.4797768516816956,0.4451648117839427,-0.03461203989775291,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,9,Compound — High,S8_rain_elevated_atmospheric_pollution,Compound,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,736.0,736.0,0.4797768516816956,0.6883115910101628,0.20853473932846722,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,9,Compound — High,S8_rain_elevated_atmospheric_pollution,Compound,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,736.0,736.0,0.4797768516816956,0.5934521101523137,0.1136752584706181,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,10,Compound — Medium,S8_rain_elevated_atmospheric_pollution,Compound,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,388.0,388.0,0.6483340037237737,0.6747452942366452,0.0264112905128715,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,10,Compound — Medium,S8_rain_elevated_atmospheric_pollution,Compound,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,388.0,388.0,0.6483340037237737,0.7067470924141481,0.058413088690374426,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,10,Compound — Medium,S8_rain_elevated_atmospheric_pollution,Compound,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,388.0,388.0,0.6483340037237737,0.7053669932781625,0.05703298955438885,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
