experiment,model,horizon,split,seed_count,sample_count_per_seed,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
E5_full_fusion,E5_full_fusion_xgboost,1,test,5,13641,1.1682331893969744,0.015096901035018907,2.5154006524833203,0.0072544342202476055,1.505091225774375,0.015707945165316248,0.9755276066999696,0.00014113269992419554
E5_full_fusion,E5_full_fusion_xgboost,3,test,5,13539,1.4082432861839043,0.014693092923662459,2.8274355682032626,0.006797536028347263,1.8376538744685533,0.015368265891655635,0.9689937079207083,0.00014901918406540348
E5_full_fusion,E5_full_fusion_xgboost,6,test,5,13387,1.5000351409786732,0.01894396469817314,2.888528944606416,0.01885551165241413,1.946561599153167,0.019051840723254925,0.9675901936000832,0.00042332752068197847
