file,size_bytes,sha256,pixel_width,pixel_height,dpi
Figure2_spatiotemporal_traffic_environmental_dynamics.png,323670,5415a6e388eea0684e918bf16d41732e5a9ebe05736e5df19b36e9b244980923,4248,3420,"(599.9988, 599.9988)"
Figure2_spatiotemporal_traffic_environmental_dynamics_preview.png,96817,1be0c0fd5a7736874e8303edc11a4e399a838315d74bce69619f9072cdc21654,1416,1140,"(199.9996, 199.9996)"
