scenario,reliability_group,experiment,model,horizon,seed_count,sample_count_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,1,5,2669.0,0.85080267881296,0.0029436023121889,2.5201154406664075,0.0072130464174805,0.9515957498752234,0.0031184275332796,0.9192704762006756,0.0004616903048901
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,3,5,2565.0,0.8593111413233151,0.0029077319023403,2.2956295616760856,0.0064395442354982,0.97891467026405,0.003187922401043,0.9402577801273112,0.0003348950209505
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,6,5,2442.0,0.7908559062394359,0.0020320682502784,2.4569699121105346,0.0029147513832176,0.9058766884866224,0.0027194619926763,0.940397810290469,0.000141410393417
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,1,5,2669.0,0.8313522687606838,0.0066741086297218,2.475849995538164,0.0055575711824138,0.9296637725463408,0.0072249872667421,0.9220817694378024,0.0003496235508214
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,3,5,2565.0,0.8938385125768115,0.0049292853107402,2.2785654917062006,0.0073310040397309,1.0143040817793458,0.0046012287852421,0.9411425242002476,0.0003788786102829
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,6,5,2442.0,0.9213992172728592,0.0141667914084215,2.4807805051769,0.0178630499651103,1.0438619721896956,0.0144217974125933,0.9392345463457088,0.0008717779741838
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,2669.0,1.100077505672679,0.0493050483119011,2.5228711817960394,0.0411042387976019,1.2052633599149292,0.050280748358884,0.919077173622964,0.0026528386860356
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,2565.0,1.1678917086813805,0.0379524175481533,2.393668667514775,0.0335919082171546,1.29602481373515,0.0384100637479169,0.9350361889645968,0.0018267582584047
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,2442.0,1.1354259141051897,0.0499775263062729,2.619859168274957,0.0331710158316907,1.2711860224285574,0.0516725205535505,0.932224358542766,0.0017185455543762
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,1,5,2669.0,0.947178815982457,0.0236059005581222,2.4533705777289665,0.0038623154436387,1.0460162928071677,0.0241249526172759,0.9234904160479164,0.000240851500229
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,3,5,2565.0,1.1047499788419386,0.0195838686273365,2.413278364883011,0.0113608878542446,1.2321846297908885,0.020151548219631,0.933976652000322,0.0006201610567889
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,6,5,2442.0,1.0642121477723283,0.0345650633308477,2.500743279661987,0.0229517866497228,1.1936977547665473,0.036691085354138,0.9382510557981438,0.0011357701884607
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,1,5,731.0,0.9450051658619932,0.0024638561739655,2.419769410845336,0.0064492381890718,1.1537789255251714,0.003539712735718,0.96944001198205,0.0001629726066401
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,3,5,717.0,1.0419396528583635,0.0042581224529277,2.36165131952008,0.0073905642580315,1.3618329527900292,0.0050457708109729,0.9715552652385292,0.000178153635389
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,6,5,686.0,0.8414963109616055,0.0057700588305977,2.177797486370568,0.0063473519031149,1.0981177328260592,0.0083334516550923,0.975589878371152,0.0001423273393839
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,1,5,731.0,0.9404352597759782,0.0086876273118745,2.397780719934766,0.0061658311609699,1.1421606798007795,0.0092152252823052,0.9699929037068638,0.000154209490133
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,3,5,717.0,1.112839734349235,0.0130486555713045,2.365024161700497,0.0086597346419284,1.4441049561279076,0.0148680787904931,0.9714738768495984,0.0002090457235868
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,5,686.0,0.9161367814904632,0.0119374364852553,2.168435825353228,0.0255695135068409,1.18491174164651,0.0170361927196085,0.9757967625661544,0.0005726862293288
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,731.0,1.0787178408322244,0.0158088460615523,2.3752265147969966,0.0206397514968862,1.2775155939889915,0.0188955925414422,0.9705531363095916,0.0005126764634215
