model,horizon,scenario,feature_group,seed_count,repetitions,sample_count,delta_MAE_mean,delta_MAE_std,delta_MAE_median,rank_within_horizon_scenario
E5_full_fusion_xgboost,3,Rain,Road,5,50,8217,0.28582458725121035,0.018440366146381983,0.29606466613276805,3.0
E5_full_fusion_xgboost,3,Rain,Traffic,5,50,8217,12.83036503049985,0.11261183747035952,12.821411959322504,1.0
E5_full_fusion_xgboost,3,Rain_elevated_pollution,Atmospheric,5,50,1974,0.2614240454918869,0.0333343498037287,0.25368615607480993,4.0
E5_full_fusion_xgboost,3,Rain_elevated_pollution,Calendar,5,50,1974,1.1168315323556208,0.04875613168397434,1.1147744308569592,2.0
E5_full_fusion_xgboost,3,Rain_elevated_pollution,Meteorology,5,50,1974,0.06795788080536902,0.014946280973407463,0.07217760643255311,6.0
E5_full_fusion_xgboost,3,Rain_elevated_pollution,Rainfall,5,50,1974,-0.006944523727277802,0.006347677839848325,-0.007922764526593906,7.0
E5_full_fusion_xgboost,3,Rain_elevated_pollution,Reliability,5,50,1974,0.12371837551551104,0.009666894330503651,0.12348122389000105,5.0
E5_full_fusion_xgboost,3,Rain_elevated_pollution,Road,5,50,1974,0.4194931464950527,0.028317085332865588,0.42779971634524394,3.0
E5_full_fusion_xgboost,3,Rain_elevated_pollution,Traffic,5,50,1974,15.995780746359474,0.3005155019082733,16.04791614406216,1.0
E5_full_fusion_xgboost,6,Elevated_AOD,Atmospheric,5,50,3492,0.4009027306876049,0.03813084982647647,0.39742381229524426,3.0
E5_full_fusion_xgboost,6,Elevated_AOD,Calendar,5,50,3492,0.9353440966276597,0.037012506112096125,0.9347263662812363,2.0
E5_full_fusion_xgboost,6,Elevated_AOD,Meteorology,5,50,3492,0.08779356598535441,0.007423189726211784,0.08757979399195692,5.0
E5_full_fusion_xgboost,6,Elevated_AOD,Rainfall,5,50,3492,-0.020018572703533053,0.008755405801797832,-0.01951314566380291,7.0
E5_full_fusion_xgboost,6,Elevated_AOD,Reliability,5,50,3492,0.05649779872158724,0.009392182724565613,0.05768326048907457,6.0
E5_full_fusion_xgboost,6,Elevated_AOD,Road,5,50,3492,0.28031754408869497,0.046202478372470074,0.2830322062800794,4.0
E5_full_fusion_xgboost,6,Elevated_AOD,Traffic,5,50,3492,14.26437893323545,0.17860497750652204,14.24373273609157,1.0
E5_full_fusion_xgboost,6,Overall_test,Atmospheric,5,50,13387,0.3127664019315206,0.02740030363292213,0.32254669617076104,3.0
E5_full_fusion_xgboost,6,Overall_test,Calendar,5,50,13387,0.7655610298351837,0.023805676803123864,0.7611896792439089,2.0
E5_full_fusion_xgboost,6,Overall_test,Meteorology,5,50,13387,0.12119760644717563,0.012040165123623272,0.12307473750665476,5.0
E5_full_fusion_xgboost,6,Overall_test,Rainfall,5,50,13387,0.024595202985048106,0.007092918411752299,0.026218939194394553,7.0
E5_full_fusion_xgboost,6,Overall_test,Reliability,5,50,13387,0.03588451883694983,0.004081277298071338,0.03439366379652331,6.0
E5_full_fusion_xgboost,6,Overall_test,Road,5,50,13387,0.2129081292866099,0.029633995558669753,0.21706673658771836,4.0
E5_full_fusion_xgboost,6,Overall_test,Traffic,5,50,13387,12.859878712579906,0.1322836886652068,12.857531807544394,1.0
E5_full_fusion_xgboost,6,Rain,Atmospheric,5,50,8264,0.3211493044001088,0.027543222155191845,0.3293849210963785,3.0
E5_full_fusion_xgboost,6,Rain,Calendar,5,50,8264,0.6784106341445394,0.019854529558421954,0.6777496549459222,2.0
E5_full_fusion_xgboost,6,Rain,Meteorology,5,50,8264,0.14675465161895007,0.01821586338062994,0.1505254651316137,5.0
E5_full_fusion_xgboost,6,Rain,Rainfall,5,50,8264,0.026241700866984793,0.007007693843231003,0.02654216281057542,7.0
E5_full_fusion_xgboost,6,Rain,Reliability,5,50,8264,0.027821588727957834,0.0043464278763359725,0.02670956119563206,6.0
E5_full_fusion_xgboost,6,Rain,Road,5,50,8264,0.1891672462538466,0.03200989782446934,0.18411447837992057,4.0
E5_full_fusion_xgboost,6,Rain,Traffic,5,50,8264,12.366929540018685,0.13826572253646063,12.344633353298885,1.0
E5_full_fusion_xgboost,6,Rain_elevated_pollution,Atmospheric,5,50,2081,0.3734902714819895,0.05017407829090005,0.3545176884731993,3.0
E5_full_fusion_xgboost,6,Rain_elevated_pollution,Calendar,5,50,2081,0.8898292270766109,0.05056735398909487,0.8944213350251111,2.0
E5_full_fusion_xgboost,6,Rain_elevated_pollution,Meteorology,5,50,2081,0.06155687127150774,0.014706021025655922,0.05843157770540908,5.0
E5_full_fusion_xgboost,6,Rain_elevated_pollution,Rainfall,5,50,2081,-0.013134690357594963,0.012099779364797265,-0.009623333370190945,7.0
E5_full_fusion_xgboost,6,Rain_elevated_pollution,Reliability,5,50,2081,0.035758757865449936,0.00973214738517176,0.036887612954634164,6.0
E5_full_fusion_xgboost,6,Rain_elevated_pollution,Road,5,50,2081,0.29054727489857,0.04875408851042486,0.3035164264347161,4.0
E5_full_fusion_xgboost,6,Rain_elevated_pollution,Traffic,5,50,2081,15.522361041517378,0.27942535990706285,15.493796053960809,1.0
