scenario,reliability_group,experiment,model,horizon,seed_count,sample_count_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,1,5,2669.0,0.85080267881296,0.002943602312188907,2.5201154406664075,0.007213046417480502,0.9515957498752234,0.0031184275332796626,0.9192704762006757,0.00046169030489018467
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,3,5,2565.0,0.8593111413233151,0.0029077319023403116,2.2956295616760856,0.006439544235498216,0.9789146702640499,0.003187922401043051,0.9402577801273111,0.0003348950209505471
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,6,5,2442.0,0.7908559062394359,0.002032068250278481,2.4569699121105346,0.002914751383217692,0.9058766884866223,0.0027194619926763806,0.940397810290469,0.00014141039341709517
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,1,5,2669.0,0.8313522687606838,0.006674108629721891,2.475849995538164,0.005557571182413861,0.9296637725463407,0.007224987266742102,0.9220817694378024,0.0003496235508214944
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,3,5,2565.0,0.8938385125768115,0.0049292853107402975,2.2785654917062006,0.007331004039730978,1.0143040817793458,0.00460122878524219,0.9411425242002475,0.0003788786102829076
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,6,5,2442.0,0.9213992172728593,0.01416679140842152,2.4807805051768996,0.017863049965110362,1.0438619721896956,0.014421797412593343,0.9392345463457087,0.0008717779741838988
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,2669.0,1.100077505672679,0.049305048311901106,2.5228711817960394,0.041104238797601916,1.2052633599149292,0.050280748358884075,0.9190771736229639,0.0026528386860356374
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,3,5,2565.0,1.1678917086813805,0.03795241754815337,2.393668667514775,0.03359190821715465,1.29602481373515,0.03841006374791694,0.9350361889645967,0.001826758258404729
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,6,5,2442.0,1.1354259141051897,0.04997752630627295,2.6198591682749575,0.033171015831690784,1.2711860224285574,0.051672520553550504,0.9322243585427661,0.0017185455543762538
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,1,5,2669.0,0.947178815982457,0.023605900558122287,2.4533705777289665,0.003862315443638731,1.0460162928071675,0.02412495261727595,0.9234904160479163,0.00024085150022905145
