scenario,reliability_group,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,1,42,2669,0.8546965451250662,2.524388145025541,0.9554002017410523,0.9189970308943164
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,1,2025,2669,0.8513572266951354,2.51619188449015,0.9523499743375549,0.9195221827969927
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,2669,0.8471402853961829,2.509216589697549,0.9475332480942773,0.9199677596361594
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,2669,0.8520630619358268,2.525270308734631,0.9532487987450103,0.9189404069828766
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,2669,0.8487562749125886,2.5255102753841654,0.9494465264582227,0.9189250006930337
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,3,42,2565,0.860541243921866,2.3006189963182266,0.9805299137805032,0.9399981822431214
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,3,2025,2565,0.8636800571414385,2.2963264586429935,0.9834625333465463,0.9402218783731973
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,2565,0.8587123620502355,2.301822827711002,0.9786067252944203,0.9399353722166189
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,2565,0.8563871650125703,2.2936629122436027,0.9757390594626371,0.9403604731779949
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,3,20260718,2565,0.8572348784904653,2.285716613464603,0.9762351194361424,0.9407729946256222
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,6,42,2442,0.7910051629610345,2.460725701060319,0.9061100355892061,0.9402155193730012
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,6,2025,2442,0.7942362058172453,2.457706009371326,0.9101898789139227,0.9403621589839363
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,6,20260623,2442,0.7896418424372526,2.4581873667245873,0.9052085649568775,0.9403387957953111
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,6,20260715,2442,0.7890222165677641,2.4549969532803293,0.9027216700380193,0.9404935605537029
S1_dry,High,E1_traffic_only,E1_traffic_only_xgboost,6,20260718,2442,0.790374103413883,2.453233530116112,0.9051532929350865,0.9405790167463933
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,1,42,2669,0.839369462166771,2.480226353902516,0.9381524232283569,0.9218063817631533
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,2669,0.8350594869427604,2.467598669237378,0.9338277411133147,0.9226005760067023
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,2669,0.8278587920635666,2.481383700786958,0.9264838260523736,0.9217333898326977
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,2669,0.8324366822379111,2.4764889410545785,0.9306031790772042,0.9220418615980702
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,2669,0.8220369203924105,2.4735523127093906,0.9192516932604546,0.9222266379883881
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,3,42,2565,0.8959935858158262,2.273578610865593,1.0154180106111161,0.9414003591332796
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,3,2025,2565,0.8985650095403619,2.2709910319341216,1.0183581314173142,0.9415336687175664
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,2565,0.8974874921554554,2.286896152004093,1.0188031632207268,0.9407118509469297
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,2565,0.8894235344503202,2.2754662450821215,1.0093268299596863,0.9413030142643036
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,2565,0.8877229409220931,2.2858954186450724,1.0096142736878861,0.9407637279391582
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,6,42,2442,0.9203181567492785,2.482638715815462,1.0428474511374761,0.9391460045490714
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,6,2025,2442,0.9228700142625313,2.492608096319868,1.0451731247086486,0.9386562879188355
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,2442,0.8986788584891154,2.450333310289205,1.0206893192415867,0.9407194290184617
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,2442,0.9284464627577573,2.483438198530495,1.0513899596258167,0.9391068046841566
S1_dry,High,E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,2442,0.9366825941056135,2.4948842049294693,1.0592100062349499,0.9385442055580184
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,2669,1.0734246245510823,2.5245077680581134,1.1789190057618215,0.9189893537465558
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,2669,1.1868007827135632,2.589959509410348,1.2935713162490887,0.9147342487223289
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,2669,1.0814568381549505,2.5075965503294992,1.1871292293343525,0.9200710695900113
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,2669,1.0913292656264024,2.5133642135568905,1.196212070234525,0.9197029614716082
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,2669,1.0673760173173972,2.4789278676253454,1.1704851779948588,0.9218882345843159
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,3,42,2565,1.1298708245845643,2.3626039608560365,1.2586067385996529,0.9367214002977332
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,2565,1.2278974516969596,2.436077341746328,1.3578960912656657,0.9327244666662208
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,2565,1.141664664384372,2.421957951490338,1.2707690132018767,0.9335020583592416
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,2565,1.1730468784701598,2.3829204660471826,1.3006086428944337,0.9356284303486281
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,2565,1.1669787242708458,2.3647836174339893,1.292243582714122,0.9366045891511603
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,6,42,2442,1.1283839926379904,2.6313730038777208,1.2670349170047506,0.9316360922021556
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,2442,1.193866576648559,2.666601840255425,1.330158493321873,0.9297933259907887
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260623,2442,1.0794347689641879,2.5951574935646575,1.2108205999014805,0.9335049237131844
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260715,2442,1.1788351276094653,2.6244204869580523,1.3159453168883621,0.931996872154869
S1_dry,High,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260718,2442,1.0966091046657453,2.5817430167189324,1.23197078502632,0.9341905786528325
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,1,42,2669,0.9794239207601612,2.4518139947339823,1.0786449727283316,0.9235876223853192
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,1,2025,2669,0.9285063106974695,2.457327884182177,1.026264899792093,0.9232435480241975
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,2669,0.9644828330447675,2.456886771976645,1.063689548516206,0.9232711024821215
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,2669,0.9374164744710987,2.447991569578525,1.0376073626400186,0.9238256933934613
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,2669,0.926064540938788,2.4528326681735035,1.023874680359189,0.9235241139544816
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,3,42,2565,1.0956376515091664,2.4216644048311626,1.223412833628597,0.9335181767775238
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,3,2025,2565,1.1395368857380628,2.4154193559885995,1.2680966318674065,0.9338606246337727
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,3,20260623,2565,1.0928309182209808,2.4134062336015574,1.2203878087787177,0.9339708259299482
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,3,20260715,2565,1.0993345948455393,2.394083871558687,1.2251643072103375,0.9350238871478669
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,3,20260718,2565,1.0964098438959449,2.421817958435048,1.2238615674693842,0.9335097455124973
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,6,42,2442,1.0569589991339106,2.49283627329905,1.1851424852394128,0.9386450564191078
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,6,2025,2442,1.0159297383876242,2.472888011090254,1.140976592983694,0.9396230808882946
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,6,20260623,2442,1.0569222841046724,2.497855387309005,1.1885191271038917,0.938397741765332
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,6,20260715,2442,1.1091990302958321,2.5360909047226188,1.2391169581626662,0.9364973742440135
S1_dry,High,E5_full_fusion,E5_full_fusion_xgboost,6,20260718,2442,1.082050686939603,2.504045821889008,1.2147336103430721,0.9380920256739714
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,1,42,731,0.945956319312336,2.4209406153877975,1.156536636086424,0.969410595673368
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,1,2025,731,0.9416060180246585,2.414193420849151,1.1493819698209773,0.9695808642465995
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,731,0.9434637355847929,2.4131788036819515,1.1505758017034011,0.9696064274773617
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,731,0.9461368346833986,2.4291415023438176,1.1554268677464818,0.9692030026929186
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,731,0.9478629217047806,2.4213927119639607,1.1569733522685728,0.9693991698200018
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,3,42,717,1.0476232268875667,2.372725413904733,1.368627153915421,0.9712881025188925
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,3,2025,717,1.0394252030475923,2.360187424718094,1.3599529002656527,0.9715907404283143
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,717,1.0424462127330856,2.3644005119518474,1.3631731792823827,0.9714892251711966
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,717,1.0364351347954757,2.3532616618314357,1.3547822059583527,0.9717572247610525
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,3,20260718,717,1.043768486828097,2.3576815851942885,1.3626293245283378,0.9716510333131898
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,6,42,686,0.8475822545117376,2.1859011879591037,1.1062472662798675,0.975408044753402
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,6,2025,686,0.8372782122405322,2.1723385281634577,1.091130923353446,0.9757122649129476
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,6,20260623,686,0.8480421424027896,2.182478810927058,1.1079876866116607,0.9754849897297032
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,6,20260715,686,0.8370654566758343,2.1770443377315,1.0910581197169844,0.9756069247477005
S1_dry,Medium,E1_traffic_only,E1_traffic_only_xgboost,6,20260718,686,0.8375134889771337,2.17122456707172,1.0941646681683372,0.9757371677120066
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,1,42,731,0.9348384006568085,2.3993160882650426,1.1388973004395815,0.969954621519966
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,731,0.9521015026337796,2.4037117031116635,1.1543540951568365,0.9698444327137157
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,731,0.9321994250950288,2.388394738333665,1.1323868285651149,0.9702275236849573
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,731,0.9471884804450371,2.402247445146185,1.1490813682705774,0.9698811609790357
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,731,0.9358484900492376,2.3952336248172728,1.136083806571788,0.9700567796366438
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,3,42,717,1.1242104835811741,2.3781012802677965,1.460845191401528,0.9711578504641816
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,3,2025,717,1.1244539006373762,2.365411106405133,1.4546804712050858,0.9714648477542913
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,717,1.116067293132532,2.361053058652839,1.4464691841166908,0.9715698975675876
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,717,1.105342543995253,2.3661075809752194,1.4340671508579426,0.9714480414294181
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,717,1.0941244503998413,2.3544477822014978,1.4244627830582908,0.9717287470325132
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,42,686,0.934027672740762,2.206568466916608,1.21124060382672,0.9749408218983614
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,2025,686,0.9020090779711368,2.1583426008586213,1.1675622560064378,0.9760242184349233
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,686,0.913033430731563,2.147253934948035,1.1794919994118338,0.9762699407721134
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,686,0.9203060342920301,2.1821395346027357,1.1912252770053895,0.9754926110784627
S1_dry,Medium,E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,686,0.9113076917168234,2.1478745894401388,1.1750385719821692,0.976256220646911
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,731,1.0801269872189654,2.3865707478538756,1.2771157664473272,0.9702729801386453
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,731,1.100428779974301,2.404995205705079,1.3033816423828808,0.9698122199634961
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,731,1.0813688286025938,2.369338815844474,1.277679307148963,0.9707007107249026
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,731,1.0561569220825138,2.36174049579142,1.2500294343310123,0.9708883313412412
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,731,1.075507686282748,2.353487308790134,1.2793718196347739,0.9710914393796721
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,42,717,1.2696522580141913,2.4177382115714354,1.6164564197396512,0.9701883866702871
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,717,1.2500148987781166,2.371286953875171,1.5776208989413658,0.9713229050268932
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,717,1.2445544655630056,2.388386000881858,1.5902425149201804,0.9709078401834605
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,717,1.2460408603130857,2.3846948391514875,1.5829654905414003,0.9709976924000142
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,717,1.2448813484081942,2.3549297456990064,1.5762156850241245,0.9717171714038864
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,42,686,0.9929113119290336,2.2132176158806978,1.26132825857815,0.9747895705271943
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,686,1.0195209940622105,2.220880048285526,1.2912327203330198,0.9746147051139716
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260623,686,0.973329291978545,2.1965710600036306,1.2387149431868605,0.9751673811619093
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260715,686,1.000256917451167,2.1958234342922918,1.2593910485483442,0.9751842823632229
S1_dry,Medium,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260718,686,0.9952877682314206,2.1950143279390764,1.266850123829955,0.9752025669440884
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,42,731,0.9910356736433218,2.3241499617346393,1.1785604861482006,0.9718076654525576
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,2025,731,0.9709246714148845,2.3308873429765873,1.1569575603165188,0.9716439773796908
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,731,0.9827187064571353,2.3187068975410945,1.165102013698779,0.9719395614138955
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,731,0.9878631118656128,2.319129078307925,1.1782135092433914,0.9719293422214819
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,731,0.9738636721338358,2.3297479148395124,1.1629507661915859,0.9716716936509395
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,42,717,1.1849940755321835,2.3458091512970034,1.512877235819978,0.9719358247875775
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,2025,717,1.2502727127252542,2.4166127424075925,1.5911980288827878,0.9702161351188519
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,20260623,717,1.1960097543032764,2.3511121239872868,1.5239877928103913,0.9718087967460448
S1_dry,Medium,E5_full_fusion,E5_full_fusion_xgboost,3,20260715,717,1.223764294527232,2.3596485723677585,1.555820945167036,0.9716037111344605
