MAE_mean,MAE_std,MPIW_mean,MPIW_std,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Pinball_Loss_mean,Pinball_Loss_std,R2_mean,R2_std,RMSE_mean,RMSE_std,delta_MAE,experiment,horizon,item,median_MAE_mean,median_MAE_std,model,relative_change_percent,sMAPE_mean,sMAPE_std,sample_count_per_seed,section,seed_count,split,variant
1.1682331893969744,0.0150969010350189,,,,,,,,,0.9755276066999696,0.0001411326999241,2.5154006524833203,0.0072544342202476,,,1,A0_full_fusion,,,A0_full_fusion_xgboost_frozen_anchor,,1.505091225774375,0.0157079451653162,13641.0,modality_ablation,5.0,test,A0_full_fusion
1.4082432861839045,0.0146930929236624,,,,,,,,,0.9689937079207084,0.0001490191840654,2.8274355682032626,0.0067975360283472,,,3,A0_full_fusion,,,A0_full_fusion_xgboost_frozen_anchor,,1.837653874468553,0.0153682658916556,13539.0,modality_ablation,5.0,test,A0_full_fusion
1.5000351409786732,0.0189439646981731,,,,,,,,,0.9675901936000832,0.0004233275206819,2.888528944606416,0.0188555116524141,,,6,A0_full_fusion,,,A0_full_fusion_xgboost_frozen_anchor,,1.946561599153167,0.0190518407232549,13387.0,modality_ablation,5.0,test,A0_full_fusion
1.1320441375561647,0.0089828255647168,,,,,,,,,0.9759967789870068,0.0001008881451856,2.491175861709884,0.0052350628326218,,,1,A1_without_rainfall,,,A1_without_rainfall_xgboost,,1.4631931300740224,0.0102993979669425,13641.0,modality_ablation,5.0,test,A1_without_rainfall
1.3820303359490589,0.0206964793156494,,,,,,,,,0.9695058324951986,0.0002431193834085,2.8039769811155297,0.0111581342523826,,,3,A1_without_rainfall,,,A1_without_rainfall_xgboost,,1.802228254903168,0.0223049988733745,13539.0,modality_ablation,5.0,test,A1_without_rainfall
1.4518663852184714,0.0363665752446068,,,,,,,,,0.9680337029765498,0.0005580905062774,2.8686587721882684,0.0249882992700777,,,6,A1_without_rainfall,,,A1_without_rainfall_xgboost,,1.8973862633603251,0.0423550372241741,13387.0,modality_ablation,5.0,test,A1_without_rainfall
1.1880706803776475,0.014075234612153,,,,,,,,,0.975535216621476,0.0001943408972399,2.515002074288968,0.0099738474304096,,,1,A2_without_meteorology,,,A2_without_meteorology_xgboost,,1.524213062381268,0.0158880729115043,13641.0,modality_ablation,5.0,test,A2_without_meteorology
1.4019054401440063,0.0237568096835119,,,,,,,,,0.969293330501772,0.0002834753393384,2.813723780754465,0.012986202010638,,,3,A2_without_meteorology,,,A2_without_meteorology_xgboost,,1.8251217360389105,0.0251791386493606,13539.0,modality_ablation,5.0,test,A2_without_meteorology
1.469015464156763,0.0234287308260044,,,,,,,,,0.9678564107282652,0.000363915449342,2.8766533932733926,0.0162678366038749,,,6,A2_without_meteorology,,,A2_without_meteorology_xgboost,,1.9105929875530208,0.0298309315742823,13387.0,modality_ablation,5.0,test,A2_without_meteorology
1.1212411653128893,0.0098464195247848,,,,,,,,,0.975458150177643,0.0001955769502392,2.5189600976594124,0.0100248966344329,,,1,A3_without_atmospheric_context,,,A3_without_atmospheric_context_xgboost,,1.4559545159814908,0.0131476741556877,13641.0,modality_ablation,5.0,test,A3_without_atmospheric_context
1.3454801049554037,0.0064133076426678,,,,,,,,,0.9698209399633428,0.0002428963169591,2.789451714633816,0.0112198954793172,,,3,A3_without_atmospheric_context,,,A3_without_atmospheric_context_xgboost,,1.7802944918147223,0.0088881161837673,13539.0,modality_ablation,5.0,test,A3_without_atmospheric_context
1.4233160496553556,0.0067278161872852,,,,,,,,,0.9674437052560048,0.0002844156923519,2.8950766926966027,0.0126571025878744,,,6,A3_without_atmospheric_context,,,A3_without_atmospheric_context_xgboost,,1.8714563696950757,0.0108092624316935,13387.0,modality_ablation,5.0,test,A3_without_atmospheric_context
1.073169987655247,0.0047699093647177,,,,,,,,,0.9759439425957146,6.818105812971929e-05,2.4939185728044206,0.0035322919525271,,,1,A4_without_environmental_lag_rolling,,,A4_without_environmental_lag_rolling_xgboost,,1.4029285785500856,0.0047405514469946,13641.0,modality_ablation,5.0,test,A4_without_environmental_lag_rolling
1.3065259982882325,0.0126690531852063,,,,,,,,,0.970512364902566,0.0001982629421999,2.75731770605338,0.009276679926178,,,3,A4_without_environmental_lag_rolling,,,A4_without_environmental_lag_rolling_xgboost,,1.725905690464635,0.0146926760278328,13539.0,modality_ablation,5.0,test,A4_without_environmental_lag_rolling
