feature,dtype,group,role,included_as_predictor,missing_count,imputation_rule,data_source
nitrogen_dioxide,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
carbon_monoxide,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
ozone,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
sulphur_dioxide,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
aerosol_optical_depth,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
dust,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
pm2_5_lag_1h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
pm2_5_lag_3h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
pm2_5_lag_6h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
pm2_5_mean_3h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
pm2_5_mean_6h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
pm2_5_mean_24h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
aerosol_optical_depth_lag_1h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
aerosol_optical_depth_lag_3h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
aerosol_optical_depth_lag_6h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
aerosol_optical_depth_mean_3h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
aerosol_optical_depth_mean_6h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
aerosol_optical_depth_mean_24h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
nitrogen_dioxide_lag_1h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
nitrogen_dioxide_lag_3h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
nitrogen_dioxide_lag_6h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
nitrogen_dioxide_mean_3h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
nitrogen_dioxide_mean_6h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
nitrogen_dioxide_mean_24h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
ozone_mean_8h,float64,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
air_quality_missing_flag,bool,atmospheric,predictor,True,0,training-only median if required,CAMS-derived gridded atmospheric composition data accessed through Open-Meteo
corridor_km,float64,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
elevation_m,float64,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
road_class,object,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
lane_count,float64,road,predictor,True,5937,training-only median if required,OpenStreetMap/elevation/static corridor context
lane_count_missing_flag,bool,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
urban_rural,object,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
distance_to_nearest_junction,float64,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
osm_bridge_tagged,bool,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
distance_to_settlement,float64,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
distance_to_major_intersection,float64,road,predictor,True,0,training-only median if required,OpenStreetMap/elevation/static corridor context
target_timestamp_h1,datetime64[us],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
target_split_h1,string,identifier_target_or_protocol,metadata_or_target,False,51,not applicable,Frozen protocol metadata or target
target_available_h1,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
sample_id_h1,string,identifier_target_or_protocol,metadata_or_target,False,3987,not applicable,Frozen protocol metadata or target
target_speed_h1,float64,identifier_target_or_protocol,metadata_or_target,False,3987,not applicable,Frozen protocol metadata or target
target_uq_partition_h1,string,identifier_target_or_protocol,metadata_or_target,False,51,not applicable,Frozen protocol metadata or target
uq_sample_available_h1,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
target_timestamp_h3,datetime64[us],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
target_split_h3,string,identifier_target_or_protocol,metadata_or_target,False,153,not applicable,Frozen protocol metadata or target
target_available_h3,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
sample_id_h3,string,identifier_target_or_protocol,metadata_or_target,False,4284,not applicable,Frozen protocol metadata or target
target_speed_h3,float64,identifier_target_or_protocol,metadata_or_target,False,4284,not applicable,Frozen protocol metadata or target
target_uq_partition_h3,string,identifier_target_or_protocol,metadata_or_target,False,153,not applicable,Frozen protocol metadata or target
uq_sample_available_h3,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
target_timestamp_h6,datetime64[us],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
target_split_h6,string,identifier_target_or_protocol,metadata_or_target,False,306,not applicable,Frozen protocol metadata or target
target_available_h6,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
sample_id_h6,string,identifier_target_or_protocol,metadata_or_target,False,4740,not applicable,Frozen protocol metadata or target
target_speed_h6,float64,identifier_target_or_protocol,metadata_or_target,False,4740,not applicable,Frozen protocol metadata or target
target_uq_partition_h6,string,identifier_target_or_protocol,metadata_or_target,False,306,not applicable,Frozen protocol metadata or target
uq_sample_available_h6,bool[pyarrow],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
causal_input_available,bool,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
imputation_class,object,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
sample_eligible_h1,bool,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
sample_eligible_h3,bool,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
sample_eligible_h6,bool,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
