MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std,experiment,horizon,model,result_section,sMAPE_mean,sMAPE_std,sample_count_per_seed,seed_count,split
1.09577254844464,0.0,0.9578308842962986,1.2412670766236366e-16,3.3019283054877504,0.0,E0_baselines,1,Persistence,E0_baseline,1.533277342038036,0.0,13641,5,test
1.9635196149404155,2.482534153247273e-16,0.941328167445693,1.2412670766236366e-16,3.8948005161231776,4.965068306494546e-16,E0_baselines,1,Historical_Average,E0_baseline,2.881216601089641,0.0,13641,5,test
1.1897261247313478,0.0,0.9693773993800036,0.0,2.8137883518093068,0.0,E0_baselines,1,Seasonal_Historical_Average,E0_baseline,1.62974350999455,0.0,13641,5,test
1.2248342680103217,0.0,0.97066775372533,0.0,2.753867582013378,0.0,E0_baselines,1,Ridge,E0_baseline,1.6541906504127737,0.0,13641,5,test
0.999443819461626,0.0025867091530302,0.9768454627921332,9.678161089017043e-05,2.4467392285999745,0.0051169520037156,E0_baselines,1,XGBoost_traffic_baseline,E0_baseline,1.3175941170010574,0.0025993917229505,13641,5,test
1.7023487702193665,0.0,0.9234560873407126,1.2412670766236366e-16,4.44246621009701,0.0,E0_baselines,3,Persistence,E0_baseline,2.5210106081042296,0.0,13539,5,test
1.962860251545619,0.0,0.9411581794935177,0.0,3.895039395485275,0.0,E0_baselines,3,Historical_Average,E0_baseline,2.875785203476432,0.0,13539,5,test
1.1933606730272843,0.0,0.9691151246291538,0.0,2.8219007225198287,0.0,E0_baselines,3,Seasonal_Historical_Average,E0_baseline,1.6332112530851397,0.0,13539,5,test
1.9627107097252785,0.0,0.9506566357233076,0.0,3.56683633855056,4.965068306494546e-16,E0_baselines,3,Ridge,E0_baseline,2.7098409748921517,0.0,13539,5,test
1.1750325139711104,0.0024572489243733,0.9714922697914632,0.0001407600414694,2.711122036069916,0.0066882062780058,E0_baselines,3,XGBoost_traffic_baseline,E0_baseline,1.5935195747997284,0.0030451833453151,13539,5,test
2.260598590672543,0.0,0.8836324949002405,0.0,5.473457738460892,0.0,E0_baselines,6,Persistence,E0_baseline,3.459561029886224,0.0,13387,5,test
1.9715711113620735,2.482534153247273e-16,0.9407060769264028,1.2412670766236366e-16,3.907068273942188,0.0,E0_baselines,6,Historical_Average,E0_baseline,2.8879742901320737,0.0,13387,5,test
1.1873915649234057,0.0,0.9690192154966674,0.0,2.8241783082140626,0.0,E0_baselines,6,Seasonal_Historical_Average,E0_baseline,1.6272325458736834,0.0,13387,5,test
2.25735998811221,0.0,0.9444341650153364,0.0,3.7822465027898473,0.0,E0_baselines,6,Ridge,E0_baseline,3.097477666152788,0.0,13387,5,test
1.2165797705586334,0.0047728181616153,0.9705628108832548,0.0003283052079018,2.752888784454187,0.0153628585153542,E0_baselines,6,XGBoost_traffic_baseline,E0_baseline,1.651903017640126,0.0084176500698078,13387,5,test
1.4480195088187635,0.0393937488212862,0.9563502776451368,0.0068421351935012,3.350212433859537,0.2775218900544866,E0_baselines,1,Formal_TCN_24h_causal,E0_baseline,1.9299375319739076,0.0514029405504973,13641,5,test
1.6889338083884962,0.1417245750234204,0.9381476207558388,0.028506008247051,3.919842546840885,0.853218973030357,E0_baselines,3,Formal_TCN_24h_causal,E0_baseline,2.286179008831537,0.2246795681341127,13539,5,test
1.7097650763754657,0.0975344886249172,0.952242767949828,0.0062221446960074,3.500359153937078,0.2306365620889534,E0_baselines,6,Formal_TCN_24h_causal,E0_baseline,2.285718878362438,0.1126192509764265,13387,5,test
0.999443819461626,0.0025867091530302,0.9768454627921332,9.678161089017043e-05,2.4467392285999745,0.0051169520037156,E1_traffic_only,1,E1_traffic_only_xgboost,E1_E5_main,1.3175941170010574,0.0025993917229505,13641,5,test
1.1750325139711104,0.0024572489243733,0.9714922697914632,0.0001407600414694,2.711122036069916,0.0066882062780058,E1_traffic_only,3,E1_traffic_only_xgboost,E1_E5_main,1.5935195747997284,0.0030451833453151,13539,5,test
1.2165797705586334,0.0047728181616153,0.9705628108832548,0.0003283052079018,2.752888784454187,0.0153628585153542,E1_traffic_only,6,E1_traffic_only_xgboost,E1_E5_main,1.651903017640126,0.0084176500698078,13387,5,test
1.1462492828261008,0.0129516641120372,0.9751970870520132,0.0002215499634279,2.532318104550804,0.0113289976644771,E2_rainfall,1,E2_rainfall_aware_xgboost,E1_E5_main,1.4840885012172709,0.0154509287216567,13641,5,test
1.3192799537666766,0.0101821060279805,0.9701117298530488,0.0002783025022996,2.7759742930122946,0.0129047606031858,E2_rainfall,3,E2_rainfall_aware_xgboost,E1_E5_main,1.752156979516577,0.0139580602885107,13539,5,test
1.4186564724490638,0.0176010097232095,0.9673262332936732,0.0004359292850427,2.900265566831558,0.0193630338656132,E2_rainfall,6,E2_rainfall_aware_xgboost,E1_E5_main,1.87050594956838,0.0229434387622149,13387,5,test
1.031562440412309,0.0032143283049511,0.9762313604453436,8.961751158423466e-05,2.4789738071725425,0.0046704819077214,E3_meteorology,1,E3_meteorology_aware_xgboost,E1_E5_main,1.356245333855831,0.0036725818357711,13641,5,test
1.234444804273416,0.0018044674138611,0.971052477970768,3.772165586118539e-05,2.731960570100557,0.0017800168127573,E3_meteorology,3,E3_meteorology_aware_xgboost,E1_E5_main,1.6553487277049777,0.0026517594661009,13539,5,test
1.3326388245776326,0.00760331128588,0.9689142225231032,0.000253953752671,2.8289409057731687,0.0115564911591814,E3_meteorology,6,E3_meteorology_aware_xgboost,E1_E5_main,1.7739407583644762,0.0095783240424373,13387,5,test
1.1864205470263536,0.0103221174778792,0.9756394541507328,0.0002056969986134,2.509636434360254,0.0105831883873486,E4_atmospheric,1,E4_atmospheric_context_xgboost,E1_E5_main,1.518106222994381,0.0097468767029868,13641,5,test
1.387293616693851,0.0084508787911012,0.9695965188085836,0.0003620648423796,2.799782521537087,0.0166759466468497,E4_atmospheric,3,E4_atmospheric_context_xgboost,E1_E5_main,1.8045143853133645,0.0101234257772974,13539,5,test
