variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,1,42,test,13641,271,0.9980668375849405,2.4487234104075286,1.3168401590240015,0.9768079743944938,0.9980668375849404,1.1102230246251565e-16,1.1123734231182397e-14
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,1,2025,test,13641,271,0.9971901876580413,2.450649351476196,1.316535280623856,0.9767714786108836,0.9971901876580412,1.1102230246251565e-16,1.1133513329413913e-14
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,1,20260623,test,13641,271,1.0032477383948815,2.4510366983026204,1.3213369732893305,0.9767641350836638,1.0032477383948817,-2.220446049250313e-16,-2.213257966375139e-14
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,1,20260715,test,13641,271,1.0009857405928273,2.4388953990434934,1.318804657164039,0.9769937643337975,1.0009857405928273,0.0,0.0
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,1,20260718,test,13641,271,0.9977285930774394,2.444391283770032,1.3144535149040597,0.9768899615378275,0.9977285930774394,0.0,0.0
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,3,42,test,13539,269,1.1784762487250193,2.7215645578459395,1.5965616420418562,0.9712723783151035,1.178476248725019,2.220446049250313e-16,1.8841669924638616e-14
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,3,2025,test,13539,269,1.1733298926467683,2.706883404042203,1.5921894195655897,0.9715814777841955,1.1733298926467683,0.0,0.0
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,3,20260623,test,13539,269,1.1734359243629477,2.7128225101428343,1.5919566450556124,0.971456636221307,1.1734359243629475,2.220446049250313e-16,1.8922601593740895e-14
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,3,20260715,test,13539,269,1.1768088351301655,2.710151888245099,1.5968813049304063,0.9715128072466477,1.1768088351301655,0.0,0.0
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,3,20260718,test,13539,269,1.173111668990652,2.7041878200735048,1.5900088624051771,0.9716380493900612,1.173111668990652,0.0,0.0
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,6,42,test,13387,266,1.2211762180918702,2.7723151869521563,1.6599500733702164,0.9701466279778281,1.2211762180918702,0.0,0.0
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,6,2025,test,13387,266,1.2105098615797245,2.7304551290892345,1.6407473187710198,0.9710413526125659,1.2105098615797245,0.0,0.0
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,6,20260623,test,13387,266,1.2210236967858117,2.7548710861484693,1.6579716315833863,0.9705211357832628,1.2210236967858117,0.0,0.0
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,6,20260715,test,13387,266,1.2172144128169637,2.758830850151414,1.6555715183667732,0.9704363309170874,1.2172144128169635,2.220446049250313e-16,1.824202889704206e-14
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,6,20260718,test,13387,266,1.2129746635187961,2.7479716699296626,1.6452745461092342,0.97066860712553,1.212974663518796,2.220446049250313e-16,1.8305790846520065e-14
M1_temperature,M1_temperature_xgboost,1,42,test,13641,271,1.000396457125218,2.4754431312686,1.321626244399754,0.9762990844550884,0.9980668375849404,0.00232961954027755,0.23341317961376387
M1_temperature,M1_temperature_xgboost,1,2025,test,13641,271,1.0053344726376066,2.4753643979581286,1.3271305947979657,0.9763005920816162,0.9971901876580412,0.00814428497956532,0.8167233372695577
M1_temperature,M1_temperature_xgboost,1,20260623,test,13641,271,1.0072548244634694,2.4798894591247045,1.3279594433334942,0.9762138660293946,1.0032477383948817,0.004007086068587684,0.3994114230447915
M1_temperature,M1_temperature_xgboost,1,20260715,test,13641,271,1.0119663603840705,2.4831558917697056,1.3338962691046607,0.976151164062214,1.0009857405928273,0.010980619791243207,1.096980640777161
M1_temperature,M1_temperature_xgboost,1,20260718,test,13641,271,1.004089316261906,2.4780432135290207,1.3250029830728225,0.9762492697832424,0.9977285930774394,0.006360723184466566,0.6375203866662037
M1_temperature,M1_temperature_xgboost,3,42,test,13539,269,1.173947905874277,2.713479457699233,1.5948719080411196,0.9714428102054268,1.178476248725019,-0.004528342850742106,-0.3842540616021131
M1_temperature,M1_temperature_xgboost,3,2025,test,13539,269,1.173161581351098,2.7055776555105444,1.5894750127073298,0.9716088882693614,1.1733298926467683,-0.00016831129567029812,-0.014344754763779666
M1_temperature,M1_temperature_xgboost,3,20260623,test,13539,269,1.1780777985474928,2.7200808600582023,1.5989047304492552,0.9713036922814288,1.1734359243629475,0.004641874184545314,0.3955796893695209
M1_temperature,M1_temperature_xgboost,3,20260715,test,13539,269,1.1831165901933742,2.719023345008455,1.6065350110225716,0.9713260010874711,1.1768088351301655,0.0063077550632086865,0.5360050736287166
M1_temperature,M1_temperature_xgboost,3,20260718,test,13539,269,1.176291434752007,2.711923452536511,1.5977904708935107,0.9714755522217982,1.173111668990652,0.0031797657613550356,0.2710539708543615
M1_temperature,M1_temperature_xgboost,6,42,test,13387,266,1.2694035856910373,2.813347755046679,1.7134499468751274,0.9692563787429089,1.2211762180918702,0.048227367599167126,3.9492553887533157
M1_temperature,M1_temperature_xgboost,6,2025,test,13387,266,1.2628626293147132,2.7886998607757474,1.7008678752527988,0.9697927120932317,1.2105098615797245,0.05235276773498865,4.324852642395485
