variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent,full_fusion_MAE,delta_MAE_vs_full
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,42,test,13641,271,1.194628900955305,2.5220984551509966,1.5324932214864586,0.975397270729886,0.9980668375849404,0.19656206337036464,19.69427857617163,1.194628900955305,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,2025,test,13641,271,1.1563395121887399,2.522764701672654,1.4931408369512453,0.9753842707236552,0.9971901876580412,0.15914932453069863,15.959776429857378,1.1563395121887399,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,20260623,test,13641,271,1.1619693847735297,2.5159451293072603,1.4984414794193446,0.9755171740058826,1.0032477383948817,0.15872164637864805,15.820782873888191,1.1619693847735297,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,20260715,test,13641,271,1.1645033523040913,2.5095888983154238,1.5029620241687773,0.9756407235379353,1.0009857405928273,0.163517611711264,16.33565844948218,1.1645033523040913,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,20260718,test,13641,271,1.1637247967632058,2.506606077970266,1.4984185668460483,0.9756985945024897,0.9977285930774394,0.1659962036857664,16.63741069841049,1.1637247967632058,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,42,test,13539,269,1.4073290782931942,2.83499581438471,1.838524452940657,0.9688278156647007,1.178476248725019,0.2288528295681751,19.4193841255408,1.4073290782931942,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,2025,test,13539,269,1.421765662269208,2.8241961058458194,1.850543396177472,0.9690648596003125,1.1733298926467683,0.24843576962243974,21.173565182254457,1.421765662269208,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,20260623,test,13539,269,1.4244715538206165,2.8318090911231018,1.854768061620273,0.9688978554818145,1.1734359243629475,0.251035629457669,21.393211529121626,1.4244715538206165,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,20260715,test,13539,269,1.3944295520887193,2.817599728379695,1.8242576250043965,0.9692091991203826,1.1768088351301655,0.21762071695855378,18.492444181427565,1.3944295520887193,0.0
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,20260718,test,13539,269,1.3932205844477834,2.8285771012829852,1.8201758365999676,0.9689688097363306,1.173111668990652,0.2201089154571314,18.762827212051654,1.3932205844477834,0.0
