variant,model,horizon,split,seed_count,sample_count_per_seed,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,test,5,13641,1.1682331893969744,0.015096901035018907,2.5154006524833203,0.0072544342202476055,1.505091225774375,0.015707945165316248,0.9755276066999696,0.00014113269992419554
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,test,5,13539,1.4082432861839043,0.014693092923662459,2.8274355682032626,0.006797536028347263,1.8376538744685533,0.015368265891655635,0.9689937079207083,0.00014901918406540348
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,6,test,5,13387,1.5000351409786732,0.01894396469817314,2.888528944606416,0.01885551165241413,1.946561599153167,0.019051840723254925,0.9675901936000832,0.00042332752068197847
A1_without_rainfall,A1_without_rainfall_xgboost,1,test,5,13641,1.1320441375561647,0.008982825564716874,2.4911758617098836,0.005235062832621852,1.4631931300740224,0.01029939796694259,0.9759967789870068,0.00010088814518560669
A1_without_rainfall,A1_without_rainfall_xgboost,3,test,5,13539,1.3820303359490587,0.020696479315649448,2.8039769811155297,0.011158134252382667,1.8022282549031678,0.022304998873374542,0.9695058324951986,0.00024311938340853103
A1_without_rainfall,A1_without_rainfall_xgboost,6,test,5,13387,1.4518663852184714,0.03636657524460681,2.8686587721882684,0.024988299270077705,1.8973862633603253,0.0423550372241741,0.9680337029765498,0.0005580905062774125
A2_without_meteorology,A2_without_meteorology_xgboost,1,test,5,13641,1.1880706803776477,0.01407523461215307,2.515002074288968,0.00997384743040964,1.524213062381268,0.015888072911504375,0.9755352166214759,0.0001943408972399725
A2_without_meteorology,A2_without_meteorology_xgboost,3,test,5,13539,1.4019054401440063,0.023756809683511994,2.8137237807544655,0.012986202010638007,1.8251217360389103,0.02517913864936064,0.9692933305017721,0.0002834753393384423
A2_without_meteorology,A2_without_meteorology_xgboost,6,test,5,13387,1.469015464156763,0.02342873082600442,2.8766533932733926,0.016267836603874906,1.9105929875530212,0.029830931574282352,0.9678564107282652,0.00036391544934209454
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,test,5,13641,1.1212411653128893,0.009846419524784886,2.5189600976594124,0.010024896634432932,1.4559545159814908,0.013147674155687763,0.975458150177643,0.00019557695023928853
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,test,5,13539,1.3454801049554035,0.006413307642667883,2.789451714633816,0.011219895479317283,1.7802944918147223,0.0088881161837673,0.9698209399633427,0.00024289631695919884
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,test,5,13387,1.4233160496553556,0.006727816187285236,2.8950766926966027,0.012657102587874483,1.8714563696950755,0.010809262431693587,0.9674437052560048,0.000284415692351931
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,1,test,5,13641,1.073169987655247,0.004769909364717723,2.4939185728044206,0.00353229195252712,1.4029285785500856,0.004740551446994634,0.9759439425957146,6.818105812971929e-05
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,3,test,5,13539,1.3065259982882325,0.012669053185206312,2.7573177060533802,0.009276679926178073,1.725905690464635,0.01469267602783285,0.970512364902566,0.0001982629421999278
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,test,5,13387,1.5228299980859816,0.010907422069018768,2.9708339278944114,0.005453787898813719,1.974454381598715,0.012811040009856564,0.965718003528752,0.00012594128809095297
A5_without_reliability,A5_without_reliability_xgboost,1,test,5,13641,1.2171550269157536,0.01526974861037919,2.5641833952935214,0.008235811095401821,1.5607456875563332,0.017658054351335183,0.97456914470948,0.00016333119423607903
A5_without_reliability,A5_without_reliability_xgboost,3,test,5,13539,1.39467112286045,0.01578630910397315,2.827577587989142,0.017081128895548733,1.8162063912141764,0.021171441356743984,0.968989831098933,0.0003739893633357239
A5_without_reliability,A5_without_reliability_xgboost,6,test,5,13387,1.47887051152695,0.02993803384891327,2.8820467988297063,0.017035351302585378,1.9238132807237054,0.03644887085379805,0.9677356900775559,0.00038164956429331256
A6_without_road_context,A6_without_road_context_xgboost,1,test,5,13641,1.1992522608854872,0.020804570396318115,2.53093741455268,0.008728560779074334,1.5378785262679129,0.022476992696908466,0.9752242871055055,0.00017082437894328512
A6_without_road_context,A6_without_road_context_xgboost,3,test,5,13539,1.4340118559825532,0.010064767010257825,2.8327947531644457,0.006149785545630218,1.8639795243578188,0.00848164650666222,0.9688760830460591,0.0001350188961852111
A6_without_road_context,A6_without_road_context_xgboost,6,test,5,13387,1.5074664013440566,0.02428100749731965,2.893736272232141,0.021401314415464227,1.9529853759214966,0.0263214642327031,0.9674729195145974,0.0004815424119045888
