horizon,E5_minus_E1_all,E5_minus_E1_excluding,conclusion_sign_changed
1,0.16878936993534843,0.18215123394559396,False
3,0.23321077221279385,0.23309885086423132,False
6,0.28345537042003977,0.30306546907650334,False
