test_set,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-B_excluding_20260217,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,13389,1.3827529655173718,2.7848067870005395,1.7985258528632224,0.9700385991413122
Test-B_excluding_20260217,E4_atmospheric,E4_atmospheric_context_xgboost,6,42,13088,1.4505583255390082,2.8854514936933784,1.8957919605784486,0.967913385460173
Test-B_excluding_20260217,E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,13088,1.4518416023681877,2.8937442205889004,1.9101038181914276,0.9677286879221461
Test-B_excluding_20260217,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260623,13088,1.4348239775877614,2.879211593645674,1.884723886741004,0.9680520124856188
Test-B_excluding_20260217,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260715,13088,1.4481751402510603,2.8580652132962876,1.8846889718468727,0.9685195733840024
Test-B_excluding_20260217,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260718,13088,1.4293439499614877,2.8721863913730457,1.8758842174437833,0.9682077268205851
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,1,42,13593,1.1941089524513935,2.522551138896773,1.5316296565398286,0.9754177100795975
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,1,2025,13593,1.1554955678297303,2.522994775227303,1.491881272285147,0.9754090628369696
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,13593,1.1623849660588612,2.516425921492386,1.4985262701700581,0.9755369457689483
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,13593,1.164008559494039,2.510001652369346,1.5020943798270996,0.9756616914541528
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,13593,1.163085458415408,2.5066067083455565,1.4972324025877506,0.9757274852879401
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,3,42,13389,1.4036764283317589,2.8376375360629003,1.8352722573625488,0.9688910166606406
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,3,2025,13389,1.4191385748435827,2.827464345686581,1.8483108913088548,0.9691136739276849
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,3,20260623,13389,1.423668470911441,2.8378165171647463,1.8551395024069224,0.9688870922019033
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,3,20260715,13389,1.3894353392814676,2.820001810932594,1.8192380074874264,0.9692764955139292
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,3,20260718,13389,1.3922487117641877,2.834902277933545,1.8198787207991902,0.9689509609544056
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,6,42,13088,1.4745431241312938,2.872490313924936,1.9205549538923998,0.9682009982182628
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,6,2025,13088,1.4678121670728403,2.8796998192596583,1.9191797313571255,0.9680411767774619
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,6,20260623,13088,1.499378760228239,2.909270785011312,1.9508440910127427,0.9673814513946941
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,6,20260715,13088,1.5164525270462035,2.9133094260839885,1.9637811118201656,0.9672908265909769
Test-B_excluding_20260217,E5_full_fusion,E5_full_fusion_xgboost,6,20260718,13088,1.4945708173800019,2.892524648761898,1.9462662236216752,0.9677558837531982
