test_set,stratum_type,stratum,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,2025,8217,1.1694626297690962,2.7072730271110133,1.5657809555138549,0.9712037667812016
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,8217,1.1740580247694337,2.7116823484180657,1.5718413634531507,0.9711098898485029
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,8217,1.1777769154280968,2.7255334689548167,1.5786321352073478,0.9708139979667437
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,20260718,8217,1.1707748676776828,2.7165233518020604,1.5670828598813746,0.9710066462216513
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,6,42,8264,1.3006289785544538,2.8514291045008946,1.7211737910529175,0.9670808978452855
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,6,2025,8264,1.2878101593834925,2.7930352414007573,1.6976762912787304,0.9684153799884455
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,6,20260623,8264,1.303109918282316,2.8276871078202146,1.7233049848919977,0.9676268075577911
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,6,20260715,8264,1.292942788240101,2.8266500525854807,1.711982538306296,0.9676505489626859
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,6,20260718,8264,1.2919976077490603,2.8190295635019673,1.7041800957918245,0.9678247384334278
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,42,8149,0.9028297546027203,2.1739260187106657,1.2031419801757022,0.9813998018310335
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,8149,0.9057917595026698,2.166637642477536,1.2036283474571625,0.9815243120405301
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,8149,0.9069632623797083,2.183150250601308,1.2080718897359348,0.9812416211558879
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,8149,0.9058481328232955,2.166013280136225,1.2059094514892212,0.9815349588247115
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,8149,0.9038509379663208,2.1698429795567815,1.2045298783451084,0.9814696055106212
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,42,8217,1.2475961347288025,2.7716493269653673,1.6533998059589425,0.9698179917675629
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,2025,8217,1.24497488463734,2.7664837020960005,1.6462008849619063,0.9699303895692686
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,8217,1.2400799067642987,2.764415919091956,1.6454099292567494,0.9699753232823164
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,8217,1.2496723654613422,2.7683056900260516,1.6572328001270158,0.9698907692322843
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,8217,1.250292163626194,2.763626821036451,1.6575124760255109,0.9699924618267524
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,42,8264,1.4278324936851068,2.917655003402631,1.8499913271838246,0.9655340145206842
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,2025,8264,1.4070045691222752,2.8898829830621047,1.8273638836034383,0.9661870283206339
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,8264,1.4200359808856267,2.8896735534242466,1.8412698579696802,0.9661919289909099
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,8264,1.4241017186822487,2.8979128854301703,1.8452321341875406,0.9659988600923677
Test-A_all,scenario,S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,8264,1.4300276805524408,2.9109878031839393,1.8556348812114587,0.965691352571006
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,8149,1.045872816222428,2.2018389348775886,1.3527819094478948,0.9809190873032696
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,8149,1.0327633964653107,2.2145533598592766,1.336668543199978,0.9806980872300446
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,8149,1.0555355696959616,2.2101986283652395,1.3603731512712378,0.9807739237447896
Test-A_all,scenario,S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,8149,1.032638112457222,2.2031250282228108,1.3370557449750573,0.9808967904846371
