experiment,horizon,feature,training_median,train_missing_count,validation_missing_count,test_missing_count,fit_scope
E2_rainfall,1,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E2_rainfall,1,dayofweek_sin,0.0,0,0,0,training_only
E2_rainfall,1,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E2_rainfall,1,is_weekend,0.0,0,0,0,training_only
E2_rainfall,1,is_public_holiday,0.0,0,0,0,training_only
E2_rainfall,1,is_school_holiday,0.0,0,0,0,training_only
E2_rainfall,1,is_holiday_eve,0.0,0,0,0,training_only
E2_rainfall,1,is_day_after_holiday,0.0,0,0,0,training_only
E2_rainfall,1,precipitation,0.0,0,0,0,training_only
E2_rainfall,1,rain_flag,0.0,0,0,0,training_only
E2_rainfall,1,rain_lag_1h,0.0,0,0,0,training_only
E2_rainfall,1,rain_lag_3h,0.0,0,0,0,training_only
E2_rainfall,1,rain_lag_6h,0.0,0,0,0,training_only
E2_rainfall,1,rain_sum_3h,0.2,0,0,0,training_only
E2_rainfall,1,rain_sum_6h,0.5999999999999965,0,0,0,training_only
E2_rainfall,1,rain_sum_12h,1.8999999999999981,0,0,0,training_only
E2_rainfall,1,rain_sum_24h,5.6,0,0,0,training_only
E2_rainfall,1,rain_max_3h,0.1,0,0,0,training_only
E2_rainfall,1,rain_max_6h,0.3,0,0,0,training_only
E2_rainfall,1,post_rain_1_3h,0.0,0,0,0,training_only
E2_rainfall,1,post_rain_4_6h,0.0,0,0,0,training_only
E2_rainfall,1,post_rain_7_12h,0.0,0,0,0,training_only
E2_rainfall,1,rain_missing_flag,0.0,0,0,0,training_only
E2_rainfall,3,current_speed_input,94.0,0,0,0,training_only
E2_rainfall,3,free_flow_speed_input,94.0,0,0,0,training_only
E2_rainfall,3,current_travel_time_input,807.0,0,0,0,training_only
E2_rainfall,3,tti_input,1.0,0,0,0,training_only
E2_rainfall,3,speed_ratio_input,1.0,0,0,0,training_only
