model,horizon,seed,epoch,training_smooth_l1,validation_MAE,learning_rate,max_preclip_gradient_norm,improved_checkpoint,stale_epochs,epoch_seconds
Formal_TCN_24h_causal,6,20260715,1,0.3517996500153564,10.576627731323242,0.003,0.4106440246105194,True,0,0.04300212860107422
Formal_TCN_24h_causal,6,20260715,2,0.2598342119342952,7.625364780426025,0.003,0.43674224615097046,True,0,0.041596412658691406
Formal_TCN_24h_causal,6,20260715,3,0.16593325538988116,5.73970365524292,0.003,0.36831969022750854,True,0,0.041998863220214844
Formal_TCN_24h_causal,6,20260715,4,0.14852755631747422,4.620820045471191,0.003,0.4466345012187958,True,0,0.04200625419616699
Formal_TCN_24h_causal,6,20260715,5,0.10438245444192415,4.099143028259277,0.003,0.2620564103126526,True,0,0.04099321365356445
Formal_TCN_24h_causal,6,20260715,6,0.07343193826699314,3.4729928970336914,0.003,0.2597476840019226,True,0,0.041001081466674805
Formal_TCN_24h_causal,6,20260715,7,0.0543147960301095,2.7929399013519287,0.003,0.19532419741153717,True,0,0.04101109504699707
Formal_TCN_24h_causal,6,20260715,8,0.04974799601887334,2.5721402168273926,0.003,0.1435091346502304,True,0,0.040988922119140625
Formal_TCN_24h_causal,6,20260715,9,0.043820135097112065,2.3306288719177246,0.003,0.13491235673427582,True,0,0.04300570487976074
Formal_TCN_24h_causal,6,20260715,10,0.03968771051030992,2.3733859062194824,0.003,0.09774076193571091,False,1,0.039992332458496094
Formal_TCN_24h_causal,6,20260715,11,0.03761554460362867,2.085650682449341,0.003,0.1071678027510643,True,0,0.04199981689453125
Formal_TCN_24h_causal,6,20260715,12,0.035335030857935185,1.813698410987854,0.003,0.05217752233147621,True,0,0.04100227355957031
Formal_TCN_24h_causal,6,20260715,13,0.03374760203462127,1.7499933242797852,0.003,0.04804103821516037,True,0,0.04099845886230469
Formal_TCN_24h_causal,6,20260715,14,0.03276504947390555,1.7546195983886719,0.003,0.04924507439136505,False,1,0.03999948501586914
Formal_TCN_24h_causal,6,20260715,15,0.03135067129925662,1.7203428745269775,0.003,0.041299015283584595,True,0,0.042999982833862305
Formal_TCN_24h_causal,6,20260715,16,0.030229194679979036,1.6332288980484009,0.003,0.03197469189763069,True,0,0.04000091552734375
Formal_TCN_24h_causal,6,20260715,17,0.029312775216237184,1.5808783769607544,0.003,0.05610940605401993,True,0,0.0410006046295166
Formal_TCN_24h_causal,6,20260715,18,0.029209411748744685,1.5632410049438477,0.003,0.030975310131907463,True,0,0.039998769760131836
Formal_TCN_24h_causal,6,20260715,19,0.028112776506103193,1.5964411497116089,0.003,0.025281760841608047,False,1,0.04101276397705078
Formal_TCN_24h_causal,6,20260715,20,0.0281941100464844,1.5629711151123047,0.003,0.04491077736020088,True,0,0.039986371994018555
Formal_TCN_24h_causal,6,20260715,21,0.0275209657574563,1.5336929559707642,0.003,0.02819632552564144,True,0,0.0410003662109375
Formal_TCN_24h_causal,6,20260715,22,0.027170935240733777,1.495813012123108,0.003,0.02942962571978569,True,0,0.039999961853027344
Formal_TCN_24h_causal,6,20260715,23,0.02670464211613658,1.463444471359253,0.003,0.07511682063341141,True,0,0.041010141372680664
Formal_TCN_24h_causal,6,20260715,24,0.026485054559399108,1.4915618896484375,0.003,0.04543478786945343,False,1,0.039988040924072266
Formal_TCN_24h_causal,6,20260715,25,0.026512382442070485,1.4851852655410767,0.003,0.039796970784664154,False,2,0.041002750396728516
Formal_TCN_24h_causal,6,20260715,26,0.026167902176142843,1.4986259937286377,0.003,0.028316888958215714,False,3,0.03999733924865723
Formal_TCN_24h_causal,6,20260715,27,0.026130745673760485,1.4593836069107056,0.003,0.02862873673439026,True,0,0.0410006046295166
Formal_TCN_24h_causal,6,20260715,28,0.025731830169482463,1.4531183242797852,0.003,0.03481416031718254,True,0,0.041007280349731445
Formal_TCN_24h_causal,6,20260715,29,0.025639171559269557,1.3867193460464478,0.003,0.033787984400987625,True,0,0.04099321365356445
Formal_TCN_24h_causal,6,20260715,30,0.02574268028512197,1.4210638999938965,0.003,0.03816218301653862,False,1,0.038999080657958984
Formal_TCN_24h_causal,6,20260715,31,0.025104239186594338,1.423681378364563,0.003,0.025283990427851677,False,2,0.039999961853027344
