model,horizon,seed,epoch,training_smooth_l1,validation_MAE,learning_rate,max_preclip_gradient_norm,improved_checkpoint,stale_epochs,epoch_seconds
Formal_TCN_24h_causal,6,2025,1,0.33669845761248907,9.639172554016113,0.003,0.20998622477054596,True,0,0.04292440414428711
Formal_TCN_24h_causal,6,2025,2,0.27057085683967214,7.308740139007568,0.003,0.43837010860443115,True,0,0.042002201080322266
Formal_TCN_24h_causal,6,2025,3,0.18094225838685535,5.787977695465088,0.003,0.4140831232070923,True,0,0.04199957847595215
Formal_TCN_24h_causal,6,2025,4,0.1553212818439536,4.507122993469238,0.003,0.4806980788707733,True,0,0.0410006046295166
Formal_TCN_24h_causal,6,2025,5,0.10753762137015593,4.143563747406006,0.003,0.36712583899497986,True,0,0.04199934005737305
Formal_TCN_24h_causal,6,2025,6,0.07666341301508435,2.844923257827759,0.003,0.38699793815612793,True,0,0.0410006046295166
Formal_TCN_24h_causal,6,2025,7,0.05226625725397994,2.4043450355529785,0.003,0.28582948446273804,True,0,0.0429995059967041
Formal_TCN_24h_causal,6,2025,8,0.047962533476593676,2.573761224746704,0.003,0.1781989485025406,False,1,0.039998769760131836
Formal_TCN_24h_causal,6,2025,9,0.043446956493370485,2.2866129875183105,0.003,0.15877214074134827,True,0,0.04200100898742676
Formal_TCN_24h_causal,6,2025,10,0.03903535512201598,2.100867509841919,0.003,0.11284449696540833,True,0,0.04000067710876465
Formal_TCN_24h_causal,6,2025,11,0.037175581523692845,1.8780630826950073,0.003,0.11534127593040466,True,0,0.04199934005737305
Formal_TCN_24h_causal,6,2025,12,0.035225863470125796,1.7268368005752563,0.003,0.08939923346042633,True,0,0.04100227355957031
Formal_TCN_24h_causal,6,2025,13,0.03366343049375798,1.7245581150054932,0.003,0.05997726321220398,True,0,0.042997121810913086
Formal_TCN_24h_causal,6,2025,14,0.03232148651131629,1.7080926895141602,0.003,0.09796637296676636,True,0,0.04200100898742676
Formal_TCN_24h_causal,6,2025,15,0.03168437256833977,1.6495460271835327,0.003,0.07623675465583801,True,0,0.04199981689453125
Formal_TCN_24h_causal,6,2025,16,0.031135952102595146,1.5989452600479126,0.003,0.06539882719516754,True,0,0.03999900817871094
Formal_TCN_24h_causal,6,2025,17,0.03027280291041154,1.5752969980239868,0.003,0.04356963187456131,True,0,0.042000532150268555
Formal_TCN_24h_causal,6,2025,18,0.029637810188717754,1.537177562713623,0.003,0.05099457502365112,True,0,0.0410006046295166
Formal_TCN_24h_causal,6,2025,19,0.029216288664596593,1.485802412033081,0.003,0.0480530671775341,True,0,0.0409998893737793
Formal_TCN_24h_causal,6,2025,20,0.028646700909340458,1.4916467666625977,0.003,0.04242435842752457,False,1,0.03899788856506348
Formal_TCN_24h_causal,6,2025,21,0.027999526345220918,1.4696147441864014,0.003,0.03154687583446503,True,0,0.04100203514099121
Formal_TCN_24h_causal,6,2025,22,0.028021050914380403,1.4293931722640991,0.003,0.023239968344569206,True,0,0.03900623321533203
Formal_TCN_24h_causal,6,2025,23,0.02780637396791045,1.4300426244735718,0.003,0.04891333356499672,False,1,0.03999185562133789
Formal_TCN_24h_causal,6,2025,24,0.027537130758342902,1.4265855550765991,0.003,0.05728581175208092,True,0,0.04000043869018555
Formal_TCN_24h_causal,6,2025,25,0.02755955352688231,1.4345513582229614,0.003,0.04779490828514099,False,1,0.03999948501586914
Formal_TCN_24h_causal,6,2025,26,0.026353644213802273,1.3692116737365723,0.003,0.022421255707740784,True,0,0.042002201080322266
Formal_TCN_24h_causal,6,2025,27,0.026427576734029717,1.4005126953125,0.003,0.06354343891143799,False,1,0.03999805450439453
Formal_TCN_24h_causal,6,2025,28,0.026870185236991678,1.3487118482589722,0.003,0.06357358396053314,True,0,0.04000067710876465
Formal_TCN_24h_causal,6,2025,29,0.026675308319565504,1.3818624019622803,0.003,0.05706631392240524,False,1,0.03999948501586914
Formal_TCN_24h_causal,6,2025,30,0.02638781546866432,1.3511803150177002,0.003,0.04919203743338585,False,2,0.039998531341552734
Formal_TCN_24h_causal,6,2025,31,0.02569278593582092,1.3212326765060425,0.003,0.039015110582113266,True,0,0.041005849838256836
Formal_TCN_24h_causal,6,2025,32,0.025569287526030292,1.3327831029891968,0.003,0.03510064631700516,False,1,0.039994001388549805
Formal_TCN_24h_causal,6,2025,33,0.025597687304363247,1.3738408088684082,0.003,0.0718771293759346,False,2,0.040000200271606445
Formal_TCN_24h_causal,6,2025,34,0.025589563695873077,1.3355904817581177,0.003,0.048174358904361725,False,3,0.039999961853027344
Formal_TCN_24h_causal,6,2025,35,0.025328018366409744,1.3418961763381958,0.003,0.052536435425281525,False,4,0.039999961853027344
Formal_TCN_24h_causal,6,2025,36,0.02562272577625917,1.330175757408142,0.003,0.0620347261428833,False,5,0.04100370407104492
Formal_TCN_24h_causal,6,2025,37,0.025261812165824064,1.2738807201385498,0.003,0.0716344565153122,True,0,0.03999805450439453
Formal_TCN_24h_causal,6,2025,38,0.02511279812214679,1.4087564945220947,0.003,0.07491321861743927,False,1,0.039999961853027344
Formal_TCN_24h_causal,6,2025,39,0.02519914491272362,1.2800610065460205,0.003,0.0659126490354538,False,2,0.03899836540222168
Formal_TCN_24h_causal,6,2025,40,0.024914250051851636,1.2665632963180542,0.003,0.03823120519518852,True,0,0.040001869201660156
Formal_TCN_24h_causal,6,2025,41,0.024916159516620014,1.3808027505874634,0.003,0.04474992677569389,False,1,0.04199814796447754
Formal_TCN_24h_causal,6,2025,42,0.024439349631093368,1.236916422843933,0.003,0.04685836657881737,True,0,0.040001869201660156
Formal_TCN_24h_causal,6,2025,43,0.02466338279745812,1.3275067806243896,0.003,0.03410874679684639,False,1,0.042000770568847656
Formal_TCN_24h_causal,6,2025,44,0.024633899397587512,1.324492335319519,0.003,0.034242622554302216,False,2,0.044999122619628906
Formal_TCN_24h_causal,6,2025,45,0.024551872487556352,1.2363356351852417,0.003,0.03185100108385086,True,0,0.040998220443725586
Formal_TCN_24h_causal,6,2025,46,0.02431451651578504,1.2942934036254883,0.003,0.04660503938794136,False,1,0.03899788856506348
Formal_TCN_24h_causal,6,2025,47,0.024327605416363144,1.2213783264160156,0.003,0.06417703628540039,True,0,0.042000532150268555
Formal_TCN_24h_causal,6,2025,48,0.024315977237012558,1.3405424356460571,0.003,0.044529616832733154,False,1,0.040999650955200195
Formal_TCN_24h_causal,6,2025,49,0.024035032910116803,1.2754788398742676,0.003,0.03466907516121864,False,2,0.042999982833862305
Formal_TCN_24h_causal,6,2025,50,0.02406601885590078,1.2099610567092896,0.003,0.04423509165644646,True,0,0.04200291633605957
Formal_TCN_24h_causal,6,2025,51,0.024058698671418945,1.3292995691299438,0.003,0.05863266810774803,False,1,0.043007612228393555
Formal_TCN_24h_causal,6,2025,52,0.02378450902848075,1.244056224822998,0.003,0.040115393698215485,False,2,0.04198956489562988
Formal_TCN_24h_causal,6,2025,53,0.024147423396054815,1.2584278583526611,0.003,0.027896618470549583,False,3,0.04207921028137207
Formal_TCN_24h_causal,6,2025,54,0.02379820238368723,1.2390861511230469,0.003,0.024623291566967964,False,4,0.041921377182006836
Formal_TCN_24h_causal,6,2025,55,0.0236462586772738,1.273343563079834,0.003,0.02463029883801937,False,5,0.040999412536621094
Formal_TCN_24h_causal,6,2025,56,0.023744554493682055,1.2578860521316528,0.0015,0.08108674734830856,False,6,0.04100751876831055
Formal_TCN_24h_causal,6,2025,57,0.023414350931554577,1.2372808456420898,0.0015,0.045011479407548904,False,7,0.04399228096008301
Formal_TCN_24h_causal,6,2025,58,0.023417220456812174,1.2507174015045166,0.0015,0.028363747522234917,False,8,0.04200100898742676
Formal_TCN_24h_causal,6,2025,59,0.02341063212566468,1.2609429359436035,0.0015,0.032505374401807785,False,9,0.041999101638793945
Formal_TCN_24h_causal,6,2025,60,0.023133546977029358,1.2380554676055908,0.0015,0.03186969831585884,False,10,0.042008161544799805
Formal_TCN_24h_causal,6,2025,61,0.023390438753415416,1.2076818943023682,0.0015,0.03014391101896763,True,0,0.042993783950805664
Formal_TCN_24h_causal,6,2025,62,0.02345804368931855,1.24209725856781,0.0015,0.031053844839334488,False,1,0.040997982025146484
Formal_TCN_24h_causal,6,2025,63,0.023508932380839065,1.2644575834274292,0.0015,0.03543854504823685,False,2,0.04200005531311035
Formal_TCN_24h_causal,6,2025,64,0.023264805051351006,1.2167532444000244,0.0015,0.03295401111245155,False,3,0.03799867630004883
Formal_TCN_24h_causal,6,2025,65,0.02309262536381442,1.2417628765106201,0.0015,0.03503290191292763,False,4,0.040007829666137695
Formal_TCN_24h_causal,6,2025,66,0.02336235752311511,1.2377514839172363,0.0015,0.028669040650129318,False,5,0.03899216651916504
Formal_TCN_24h_causal,6,2025,67,0.023530196282678675,1.277806282043457,0.00075,0.0433170422911644,False,6,0.041001081466674805
Formal_TCN_24h_causal,6,2025,68,0.023335129289918915,1.228708028793335,0.00075,0.07507319748401642,False,7,0.038999080657958984
Formal_TCN_24h_causal,6,2025,69,0.02352231613814703,1.2214863300323486,0.00075,0.04293057695031166,False,8,0.04200315475463867
Formal_TCN_24h_causal,6,2025,70,0.0234004560702291,1.2370820045471191,0.00075,0.036307282745838165,False,9,0.041008710861206055
