scenario,model,horizon,seed_count,sample_count,Pinball_Loss_mean,PICP_mean,MPIW_mean,PINAW_mean
S1_dry,UQ_T1_traffic_only,1,5,5492.0,0.484994212322138,0.9479242534595775,14.709701125776343,0.18387126407220428
S1_dry,UQ_T1_traffic_only,3,5,5322.0,0.4640495430137467,0.9482901164975572,14.266131205668085,0.17832664007085103
S1_dry,UQ_T1_traffic_only,6,5,5123.0,0.44644102624494464,0.9475697833300799,13.82589013894368,0.17282362673679597
S1_dry,UQ_T2_best_environmental_M4_pressure,1,5,5492.0,0.4863382231237011,0.9422068463219228,14.643732077174175,0.18304665096467718
S1_dry,UQ_T2_best_environmental_M4_pressure,3,5,5322.0,0.46605144764148676,0.9420142803457345,14.233001150111871,0.17791251437639838
S1_dry,UQ_T2_best_environmental_M4_pressure,6,5,5123.0,0.45023941965107517,0.9406597696662112,13.799601026151928,0.17249501282689908
S1_dry,UQ_aux_full_fusion,1,5,5492.0,0.5231849031652113,0.9386016023306627,14.815521911418273,0.18519402389272838
S1_dry,UQ_aux_full_fusion,3,5,5322.0,0.5062741191247108,0.9454340473506202,14.786125975432856,0.18482657469291067
S1_dry,UQ_aux_full_fusion,6,5,5123.0,0.493769844318772,0.9455006831934412,14.426910763021422,0.18033638453776774
S2_rain,UQ_T1_traffic_only,1,5,8149.0,0.3762508189568478,0.9628420665112284,13.331679041000331,0.16875543089873832
S2_rain,UQ_T1_traffic_only,3,5,8217.0,0.46159783139924626,0.9522696847998052,14.064543298835286,0.1780321936561428
S2_rain,UQ_T1_traffic_only,6,5,8264.0,0.462823723220333,0.9469990319457888,14.485836356145484,0.18453294721204436
S2_rain,UQ_T2_best_environmental_M4_pressure,1,5,8149.0,0.37825921448714495,0.9577862314394403,13.349143550094322,0.16897650063410527
S2_rain,UQ_T2_best_environmental_M4_pressure,3,5,8217.0,0.4658443342751024,0.9505172203967384,14.038253409023687,0.1776994102408061
S2_rain,UQ_T2_best_environmental_M4_pressure,6,5,8264.0,0.46243083672817403,0.9449903194578896,14.481214909908962,0.18447407528546447
S2_rain,UQ_aux_full_fusion,1,5,8149.0,0.41942088635239816,0.9615903791876305,14.280171725518542,0.18076166741162708
S2_rain,UQ_aux_full_fusion,3,5,8217.0,0.5052379470552222,0.9514908117317755,14.65372259412294,0.1854901594192777
S2_rain,UQ_aux_full_fusion,6,5,8264.0,0.5175039174896013,0.9487899322362052,15.212395116366583,0.19378847281995643
S7_elevated_aod,UQ_T1_traffic_only,1,5,3548.0,0.500148984908341,0.9469560315670801,15.47023777687563,0.19833638175481574
S7_elevated_aod,UQ_T1_traffic_only,3,5,3517.0,0.5887556825268497,0.924936025021325,15.526864048836075,0.19906235960046245
S7_elevated_aod,UQ_T1_traffic_only,6,5,3492.0,0.5704058554573977,0.9207331042382588,15.381186701041589,0.19719470129540495
S7_elevated_aod,UQ_T2_best_environmental_M4_pressure,1,5,3548.0,0.4956139501849767,0.9445885005636979,15.418478412370131,0.1976728001585914
S7_elevated_aod,UQ_T2_best_environmental_M4_pressure,3,5,3517.0,0.5865048288311534,0.9222064259311914,15.503971615710787,0.19876886686808698
S7_elevated_aod,UQ_T2_best_environmental_M4_pressure,6,5,3492.0,0.5642372398423805,0.9218785796105383,15.48528142090106,0.198529248985911
S7_elevated_aod,UQ_aux_full_fusion,1,5,3548.0,0.5102567401984187,0.947576099210823,15.646722576502615,0.20059900739105913
S7_elevated_aod,UQ_aux_full_fusion,3,5,3517.0,0.5636607376494892,0.9353426215524594,15.70329590125758,0.20132430642637916
S7_elevated_aod,UQ_aux_full_fusion,6,5,3492.0,0.5537438469854374,0.9347651775486827,15.452368946119137,0.19810729418101453
S8_rain_elevated_atmospheric_pollution,UQ_T1_traffic_only,1,5,1917.0,0.44999040925343187,0.953677621283255,16.005210565438666,0.20519500724921363
S8_rain_elevated_atmospheric_pollution,UQ_T1_traffic_only,3,5,1974.0,0.6342885297828735,0.9204660587639312,17.208037253112174,0.2264215428041075
S8_rain_elevated_atmospheric_pollution,UQ_T1_traffic_only,6,5,2081.0,0.6430410857981986,0.91417587698222,18.028202972888714,0.22965863659730848
S8_rain_elevated_atmospheric_pollution,UQ_T2_best_environmental_M4_pressure,1,5,1917.0,0.44450877315167714,0.9520083463745435,15.985226279444287,0.20493879845441393
S8_rain_elevated_atmospheric_pollution,UQ_T2_best_environmental_M4_pressure,3,5,1974.0,0.6340723760528206,0.9194528875379939,17.12227931732827,0.22529314891221408
S8_rain_elevated_atmospheric_pollution,UQ_T2_best_environmental_M4_pressure,6,5,2081.0,0.6355400380090742,0.912830370014416,17.985568718678785,0.22911552507871064
S8_rain_elevated_atmospheric_pollution,UQ_aux_full_fusion,1,5,1917.0,0.4589151609066239,0.9606677099634846,16.405892507546135,0.21033195522495043
S8_rain_elevated_atmospheric_pollution,UQ_aux_full_fusion,3,5,1974.0,0.6085404757525785,0.9291793313069908,17.364716830925136,0.2284831161963833
S8_rain_elevated_atmospheric_pollution,UQ_aux_full_fusion,6,5,2081.0,0.6342946911637227,0.9288803459875059,17.70188175588202,0.2255016784188792
