node_id,first_timestamp,last_timestamp,observed_rows,expected_hourly_rows,missing_timestamp_count,duplicate_timestamp_count,resolution_is_1h,status
N001,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N002,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N003,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N004,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N005,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N006,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N007,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N008,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N009,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N010,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N011,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N012,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N013,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N014,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N015,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N016,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N017,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N018,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N019,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N020,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N021,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N022,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N023,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N024,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N025,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N026,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N027,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N028,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N029,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N030,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N031,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N032,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N033,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N034,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N035,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N036,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N037,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N038,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N039,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N040,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N041,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N042,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N043,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N044,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N045,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N046,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N047,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N048,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N049,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N050,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
N051,2025-12-08 13:00:00,2026-02-28 23:00:00,1979,1979,0,0,False,PASS
