check,status,detail
formal_tcn_convergence,PASS,15 runs
formal_tcn_sample_consistency,PASS,15 comparisons
E1_E5_sample_consistency,PASS,15 comparisons
E6_sample_consistency,PASS,450 comparisons
UQ_calibration,PASS,45 runs
checkpoint_reproduction,PASS,15 E5 checkpoints
metric_reproduction,PASS,525 prediction groups
