scope,item,horizon,seed,recomputed_MAE,reported_MAE,absolute_difference,status
E1_E5,E1_traffic_only,1,42,0.9980668375849405,0.9980668375849404,1.1102230246251565e-16,PASS
E1_E5,E1_traffic_only,1,2025,0.9971901876580413,0.9971901876580412,1.1102230246251565e-16,PASS
E1_E5,E1_traffic_only,1,20260623,1.0032477383948815,1.0032477383948817,2.220446049250313e-16,PASS
E1_E5,E1_traffic_only,1,20260715,1.0009857405928273,1.0009857405928273,0.0,PASS
E1_E5,E1_traffic_only,1,20260718,0.9977285930774394,0.9977285930774394,0.0,PASS
E1_E5,E1_traffic_only,3,42,1.1784762487250193,1.178476248725019,2.220446049250313e-16,PASS
E1_E5,E1_traffic_only,3,2025,1.1733298926467683,1.1733298926467683,0.0,PASS
E1_E5,E1_traffic_only,3,20260623,1.1734359243629477,1.1734359243629475,2.220446049250313e-16,PASS
E1_E5,E1_traffic_only,3,20260715,1.1768088351301655,1.1768088351301655,0.0,PASS
E1_E5,E1_traffic_only,3,20260718,1.173111668990652,1.173111668990652,0.0,PASS
E1_E5,E1_traffic_only,6,42,1.2211762180918702,1.2211762180918702,0.0,PASS
E1_E5,E1_traffic_only,6,2025,1.2105098615797245,1.2105098615797245,0.0,PASS
E1_E5,E1_traffic_only,6,20260623,1.2210236967858117,1.2210236967858117,0.0,PASS
E1_E5,E1_traffic_only,6,20260715,1.2172144128169637,1.2172144128169635,2.220446049250313e-16,PASS
E1_E5,E1_traffic_only,6,20260718,1.2129746635187961,1.212974663518796,2.220446049250313e-16,PASS
E1_E5,E2_rainfall,1,42,1.1450588024691153,1.1450588024691153,0.0,PASS
E1_E5,E2_rainfall,1,2025,1.126539935762254,1.126539935762254,0.0,PASS
E1_E5,E2_rainfall,1,20260623,1.1549219064400482,1.1549219064400482,0.0,PASS
E1_E5,E2_rainfall,1,20260715,1.1604604198824109,1.1604604198824109,0.0,PASS
E1_E5,E2_rainfall,1,20260718,1.1442653495766761,1.144265349576676,2.220446049250313e-16,PASS
E1_E5,E2_rainfall,3,42,1.3114453121769196,1.3114453121769196,0.0,PASS
E1_E5,E2_rainfall,3,2025,1.315185841216316,1.315185841216316,0.0,PASS
E1_E5,E2_rainfall,3,20260623,1.3241640555980998,1.3241640555980998,0.0,PASS
E1_E5,E2_rainfall,3,20260715,1.3347999828776378,1.3347999828776378,0.0,PASS
E1_E5,E2_rainfall,3,20260718,1.3108045769644108,1.3108045769644108,0.0,PASS
E1_E5,E2_rainfall,6,42,1.4314006756502586,1.4314006756502586,0.0,PASS
E1_E5,E2_rainfall,6,2025,1.4048145578099964,1.4048145578099964,0.0,PASS
E1_E5,E2_rainfall,6,20260623,1.3999254641342096,1.3999254641342096,0.0,PASS
E1_E5,E2_rainfall,6,20260715,1.4415656220695952,1.4415656220695952,0.0,PASS
E1_E5,E2_rainfall,6,20260718,1.4155760425812594,1.4155760425812594,0.0,PASS
E1_E5,E3_meteorology,1,42,1.030439187816035,1.030439187816035,0.0,PASS
E1_E5,E3_meteorology,1,2025,1.0338904146522065,1.0338904146522063,2.220446049250313e-16,PASS
E1_E5,E3_meteorology,1,20260623,1.031717208997655,1.031717208997655,0.0,PASS
E1_E5,E3_meteorology,1,20260715,1.0349874733183164,1.0349874733183164,0.0,PASS
E1_E5,E3_meteorology,1,20260718,1.0267779172773315,1.0267779172773317,2.220446049250313e-16,PASS
E1_E5,E3_meteorology,3,42,1.2364314612860483,1.2364314612860483,0.0,PASS
E1_E5,E3_meteorology,3,2025,1.2354166925318861,1.235416692531886,2.220446049250313e-16,PASS
E1_E5,E3_meteorology,3,20260623,1.2318758529436553,1.231875852943655,2.220446049250313e-16,PASS
E1_E5,E3_meteorology,3,20260715,1.2333962991958054,1.2333962991958054,0.0,PASS
E1_E5,E3_meteorology,3,20260718,1.2351037154096847,1.2351037154096849,2.220446049250313e-16,PASS
E1_E5,E3_meteorology,6,42,1.3362087636820208,1.3362087636820208,0.0,PASS
E1_E5,E3_meteorology,6,2025,1.3224251230198598,1.3224251230198598,0.0,PASS
E1_E5,E3_meteorology,6,20260623,1.3279213709641386,1.3279213709641386,0.0,PASS
E1_E5,E3_meteorology,6,20260715,1.33461914738794,1.33461914738794,0.0,PASS
E1_E5,E3_meteorology,6,20260718,1.3420197178342037,1.3420197178342037,0.0,PASS
E1_E5,E4_atmospheric,1,42,1.1853499332253943,1.1853499332253945,2.220446049250313e-16,PASS
E1_E5,E4_atmospheric,1,2025,1.2004923162736945,1.2004923162736945,0.0,PASS
E1_E5,E4_atmospheric,1,20260623,1.1926195764402967,1.1926195764402967,0.0,PASS
E1_E5,E4_atmospheric,1,20260715,1.178281963788277,1.178281963788277,0.0,PASS
E1_E5,E4_atmospheric,1,20260718,1.1753589454041056,1.1753589454041056,0.0,PASS
E1_E5,E4_atmospheric,3,42,1.3920374548839942,1.3920374548839942,0.0,PASS
E1_E5,E4_atmospheric,3,2025,1.3990140889418057,1.3990140889418057,0.0,PASS
E1_E5,E4_atmospheric,3,20260623,1.3786478777939277,1.3786478777939275,2.220446049250313e-16,PASS
E1_E5,E4_atmospheric,3,20260715,1.3865844955536375,1.3865844955536375,0.0,PASS
E1_E5,E4_atmospheric,3,20260718,1.3801841662958905,1.3801841662958905,0.0,PASS
E1_E5,E4_atmospheric,6,42,1.4559295383019382,1.4559295383019382,0.0,PASS
E1_E5,E4_atmospheric,6,2025,1.4558557020015312,1.4558557020015312,0.0,PASS
E1_E5,E4_atmospheric,6,20260623,1.4402697403145213,1.4402697403145213,0.0,PASS
E1_E5,E4_atmospheric,6,20260715,1.4542447431216734,1.4542447431216734,0.0,PASS
E1_E5,E4_atmospheric,6,20260718,1.4369990744832615,1.4369990744832617,2.220446049250313e-16,PASS
E1_E5,E5_full_fusion,1,42,1.194628900955305,1.194628900955305,0.0,PASS
E1_E5,E5_full_fusion,1,2025,1.1563395121887399,1.15633951218874,2.220446049250313e-16,PASS
E1_E5,E5_full_fusion,1,20260623,1.1619693847735297,1.1619693847735295,2.220446049250313e-16,PASS
E1_E5,E5_full_fusion,1,20260715,1.1645033523040913,1.1645033523040913,0.0,PASS
E1_E5,E5_full_fusion,1,20260718,1.1637247967632058,1.1637247967632058,0.0,PASS
E1_E5,E5_full_fusion,3,42,1.4073290782931942,1.4073290782931942,0.0,PASS
E1_E5,E5_full_fusion,3,2025,1.421765662269208,1.421765662269208,0.0,PASS
E1_E5,E5_full_fusion,3,20260623,1.4244715538206165,1.4244715538206163,2.220446049250313e-16,PASS
E1_E5,E5_full_fusion,3,20260715,1.3944295520887193,1.394429552088719,2.220446049250313e-16,PASS
E1_E5,E5_full_fusion,3,20260718,1.3932205844477834,1.3932205844477834,0.0,PASS
E1_E5,E5_full_fusion,6,42,1.4872926561722186,1.4872926561722186,0.0,PASS
E1_E5,E5_full_fusion,6,2025,1.4755648972138546,1.4755648972138546,0.0,PASS
E1_E5,E5_full_fusion,6,20260623,1.5095473863033626,1.5095473863033626,0.0,PASS
E1_E5,E5_full_fusion,6,20260715,1.5238901376670817,1.5238901376670817,0.0,PASS
E1_E5,E5_full_fusion,6,20260718,1.5038806275368473,1.5038806275368473,0.0,PASS
modality_ablation,A0_full_fusion,1,42,1.194628900955305,1.194628900955305,0.0,PASS
modality_ablation,A0_full_fusion,1,2025,1.1563395121887399,1.15633951218874,2.220446049250313e-16,PASS
modality_ablation,A0_full_fusion,1,20260623,1.1619693847735297,1.1619693847735295,2.220446049250313e-16,PASS
modality_ablation,A0_full_fusion,1,20260715,1.1645033523040913,1.1645033523040913,0.0,PASS
modality_ablation,A0_full_fusion,1,20260718,1.1637247967632058,1.1637247967632058,0.0,PASS
modality_ablation,A0_full_fusion,3,42,1.4073290782931942,1.4073290782931942,0.0,PASS
modality_ablation,A0_full_fusion,3,2025,1.421765662269208,1.421765662269208,0.0,PASS
modality_ablation,A0_full_fusion,3,20260623,1.4244715538206165,1.4244715538206163,2.220446049250313e-16,PASS
modality_ablation,A0_full_fusion,3,20260715,1.3944295520887193,1.394429552088719,2.220446049250313e-16,PASS
modality_ablation,A0_full_fusion,3,20260718,1.3932205844477834,1.3932205844477834,0.0,PASS
modality_ablation,A0_full_fusion,6,42,1.4872926561722186,1.4872926561722186,0.0,PASS
modality_ablation,A0_full_fusion,6,2025,1.4755648972138546,1.4755648972138546,0.0,PASS
modality_ablation,A0_full_fusion,6,20260623,1.5095473863033626,1.5095473863033626,0.0,PASS
modality_ablation,A0_full_fusion,6,20260715,1.5238901376670817,1.5238901376670817,0.0,PASS
modality_ablation,A0_full_fusion,6,20260718,1.5038806275368473,1.5038806275368473,0.0,PASS
modality_ablation,A1_without_rainfall,1,42,1.134666578090893,1.134666578090893,0.0,PASS
modality_ablation,A1_without_rainfall,1,2025,1.1264266492555914,1.1264266492555914,0.0,PASS
modality_ablation,A1_without_rainfall,1,20260623,1.119921466674611,1.119921466674611,0.0,PASS
modality_ablation,A1_without_rainfall,1,20260715,1.1362045124024964,1.1362045124024964,0.0,PASS
modality_ablation,A1_without_rainfall,1,20260718,1.1430014813572325,1.1430014813572325,0.0,PASS
modality_ablation,A1_without_rainfall,3,42,1.374893980887715,1.374893980887715,0.0,PASS
modality_ablation,A1_without_rainfall,3,2025,1.36634516777168,1.36634516777168,0.0,PASS
modality_ablation,A1_without_rainfall,3,20260623,1.3661442055338158,1.3661442055338158,0.0,PASS
modality_ablation,A1_without_rainfall,3,20260715,1.4157875407595288,1.4157875407595288,0.0,PASS
modality_ablation,A1_without_rainfall,3,20260718,1.3869807847925544,1.3869807847925544,0.0,PASS
modality_ablation,A1_without_rainfall,6,42,1.4513736453860977,1.4513736453860977,0.0,PASS
modality_ablation,A1_without_rainfall,6,2025,1.4290533398101328,1.4290533398101328,0.0,PASS
modality_ablation,A1_without_rainfall,6,20260623,1.459762167902701,1.459762167902701,0.0,PASS
modality_ablation,A1_without_rainfall,6,20260715,1.5074689640614982,1.5074689640614982,0.0,PASS
modality_ablation,A1_without_rainfall,6,20260718,1.4116738089319272,1.4116738089319272,0.0,PASS
modality_ablation,A2_without_meteorology,1,42,1.1766010313227715,1.1766010313227715,0.0,PASS
modality_ablation,A2_without_meteorology,1,2025,1.2041115102811522,1.2041115102811522,0.0,PASS
modality_ablation,A2_without_meteorology,1,20260623,1.2025286098957773,1.2025286098957773,0.0,PASS
modality_ablation,A2_without_meteorology,1,20260715,1.1811544513369143,1.1811544513369143,0.0,PASS
modality_ablation,A2_without_meteorology,1,20260718,1.175957799051624,1.175957799051624,0.0,PASS
modality_ablation,A2_without_meteorology,3,42,1.4152085197732929,1.4152085197732929,0.0,PASS
modality_ablation,A2_without_meteorology,3,2025,1.4334287512369024,1.4334287512369024,0.0,PASS
modality_ablation,A2_without_meteorology,3,20260623,1.376887703200171,1.376887703200171,0.0,PASS
modality_ablation,A2_without_meteorology,3,20260715,1.4035070771741576,1.4035070771741576,0.0,PASS
modality_ablation,A2_without_meteorology,3,20260718,1.3804951493355073,1.380495149335507,2.220446049250313e-16,PASS
modality_ablation,A2_without_meteorology,6,42,1.4682994518345092,1.4682994518345092,0.0,PASS
modality_ablation,A2_without_meteorology,6,2025,1.4611254247855991,1.4611254247855991,0.0,PASS
modality_ablation,A2_without_meteorology,6,20260623,1.4959285080591695,1.4959285080591695,0.0,PASS
modality_ablation,A2_without_meteorology,6,20260715,1.4847715184655383,1.4847715184655383,0.0,PASS
modality_ablation,A2_without_meteorology,6,20260718,1.4349524176389983,1.4349524176389985,2.220446049250313e-16,PASS
modality_ablation,A3_without_atmospheric_context,1,42,1.135464472039291,1.135464472039291,0.0,PASS
modality_ablation,A3_without_atmospheric_context,1,2025,1.1111806842986751,1.1111806842986751,0.0,PASS
modality_ablation,A3_without_atmospheric_context,1,20260623,1.1190646364504595,1.1190646364504595,0.0,PASS
modality_ablation,A3_without_atmospheric_context,1,20260715,1.1140197662554117,1.1140197662554117,0.0,PASS
modality_ablation,A3_without_atmospheric_context,1,20260718,1.1264762675206081,1.126476267520608,2.220446049250313e-16,PASS
modality_ablation,A3_without_atmospheric_context,3,42,1.344475913156384,1.344475913156384,0.0,PASS
modality_ablation,A3_without_atmospheric_context,3,2025,1.3495385877355344,1.3495385877355344,0.0,PASS
modality_ablation,A3_without_atmospheric_context,3,20260623,1.336771099269867,1.336771099269867,0.0,PASS
modality_ablation,A3_without_atmospheric_context,3,20260715,1.3430535258402028,1.3430535258402028,0.0,PASS
modality_ablation,A3_without_atmospheric_context,3,20260718,1.3535613987750301,1.35356139877503,2.220446049250313e-16,PASS
modality_ablation,A3_without_atmospheric_context,6,42,1.4269072019188014,1.4269072019188014,0.0,PASS
modality_ablation,A3_without_atmospheric_context,6,2025,1.4133713722015286,1.4133713722015286,0.0,PASS
modality_ablation,A3_without_atmospheric_context,6,20260623,1.4210549111937487,1.4210549111937487,0.0,PASS
modality_ablation,A3_without_atmospheric_context,6,20260715,1.431300479270278,1.431300479270278,0.0,PASS
modality_ablation,A3_without_atmospheric_context,6,20260718,1.4239462836924215,1.4239462836924217,2.220446049250313e-16,PASS
modality_ablation,A4_without_environmental_lag_rolling,1,42,1.0764976303286646,1.0764976303286646,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,1,2025,1.072347976076426,1.072347976076426,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,1,20260623,1.072168765415169,1.072168765415169,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,1,20260715,1.0786276609891845,1.0786276609891845,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,1,20260718,1.0662079054667906,1.0662079054667906,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,3,42,1.2963138648037673,1.296313864803767,2.220446049250313e-16,PASS
modality_ablation,A4_without_environmental_lag_rolling,3,2025,1.3073733371402427,1.3073733371402427,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,3,20260623,1.3278119927674519,1.327811992767452,2.220446049250313e-16,PASS
modality_ablation,A4_without_environmental_lag_rolling,3,20260715,1.2980293663125018,1.2980293663125018,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,3,20260718,1.3031014304171988,1.3031014304171988,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,6,42,1.5331566957621126,1.5331566957621126,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,6,2025,1.5260339297109893,1.5260339297109893,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,6,20260623,1.5311997181657853,1.5311997181657853,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,6,20260715,1.5168354614117994,1.5168354614117994,0.0,PASS
modality_ablation,A4_without_environmental_lag_rolling,6,20260718,1.5069241853792208,1.5069241853792208,0.0,PASS
modality_ablation,A5_without_reliability,1,42,1.2098686244175891,1.2098686244175891,0.0,PASS
modality_ablation,A5_without_reliability,1,2025,1.2442685517299281,1.244268551729928,2.220446049250313e-16,PASS
modality_ablation,A5_without_reliability,1,20260623,1.2110514826285559,1.211051482628556,2.220446049250313e-16,PASS
modality_ablation,A5_without_reliability,1,20260715,1.2077432916803106,1.2077432916803106,0.0,PASS
modality_ablation,A5_without_reliability,1,20260718,1.2128431841223843,1.2128431841223843,0.0,PASS
modality_ablation,A5_without_reliability,3,42,1.3928619558515285,1.3928619558515285,0.0,PASS
modality_ablation,A5_without_reliability,3,2025,1.3954327924871948,1.3954327924871948,0.0,PASS
modality_ablation,A5_without_reliability,3,20260623,1.4109253380121753,1.4109253380121751,2.220446049250313e-16,PASS
modality_ablation,A5_without_reliability,3,20260715,1.369558404310652,1.369558404310652,0.0,PASS
modality_ablation,A5_without_reliability,3,20260718,1.4045771236407,1.4045771236407,0.0,PASS
modality_ablation,A5_without_reliability,6,42,1.5048017017264486,1.5048017017264486,0.0,PASS
modality_ablation,A5_without_reliability,6,2025,1.433871367331452,1.433871367331452,0.0,PASS
modality_ablation,A5_without_reliability,6,20260623,1.507267138071113,1.507267138071113,0.0,PASS
modality_ablation,A5_without_reliability,6,20260715,1.4785601053522632,1.4785601053522632,0.0,PASS
modality_ablation,A5_without_reliability,6,20260718,1.4698522451534735,1.4698522451534737,2.220446049250313e-16,PASS
modality_ablation,A6_without_road_context,1,42,1.213936109477362,1.213936109477362,0.0,PASS
modality_ablation,A6_without_road_context,1,2025,1.1949036217998923,1.1949036217998923,0.0,PASS
modality_ablation,A6_without_road_context,1,20260623,1.165347343321592,1.165347343321592,0.0,PASS
modality_ablation,A6_without_road_context,1,20260715,1.2169314139464282,1.2169314139464282,0.0,PASS
modality_ablation,A6_without_road_context,1,20260718,1.2051428158821615,1.2051428158821615,0.0,PASS
modality_ablation,A6_without_road_context,3,42,1.42471057326361,1.42471057326361,0.0,PASS
modality_ablation,A6_without_road_context,3,2025,1.434980259532869,1.434980259532869,0.0,PASS
modality_ablation,A6_without_road_context,3,20260623,1.4412980277420255,1.4412980277420255,0.0,PASS
modality_ablation,A6_without_road_context,3,20260715,1.4230436828712458,1.4230436828712458,0.0,PASS
modality_ablation,A6_without_road_context,3,20260718,1.4460267365030155,1.4460267365030155,0.0,PASS
modality_ablation,A6_without_road_context,6,42,1.5011588830687377,1.5011588830687377,0.0,PASS
modality_ablation,A6_without_road_context,6,2025,1.4749829906542364,1.4749829906542364,0.0,PASS
modality_ablation,A6_without_road_context,6,20260623,1.5172222681620906,1.5172222681620906,0.0,PASS
modality_ablation,A6_without_road_context,6,20260715,1.5413051408320462,1.5413051408320462,0.0,PASS
modality_ablation,A6_without_road_context,6,20260718,1.5026627240031722,1.5026627240031722,0.0,PASS
meteorology_ablation,M0_traffic_only,1,42,0.9980668375849405,0.9980668375849404,1.1102230246251565e-16,PASS
meteorology_ablation,M0_traffic_only,1,2025,0.9971901876580413,0.9971901876580412,1.1102230246251565e-16,PASS
meteorology_ablation,M0_traffic_only,1,20260623,1.0032477383948815,1.0032477383948817,2.220446049250313e-16,PASS
meteorology_ablation,M0_traffic_only,1,20260715,1.0009857405928273,1.0009857405928273,0.0,PASS
meteorology_ablation,M0_traffic_only,1,20260718,0.9977285930774394,0.9977285930774394,0.0,PASS
meteorology_ablation,M0_traffic_only,3,42,1.1784762487250193,1.178476248725019,2.220446049250313e-16,PASS
meteorology_ablation,M0_traffic_only,3,2025,1.1733298926467683,1.1733298926467683,0.0,PASS
meteorology_ablation,M0_traffic_only,3,20260623,1.1734359243629477,1.1734359243629475,2.220446049250313e-16,PASS
meteorology_ablation,M0_traffic_only,3,20260715,1.1768088351301655,1.1768088351301655,0.0,PASS
meteorology_ablation,M0_traffic_only,3,20260718,1.173111668990652,1.173111668990652,0.0,PASS
meteorology_ablation,M0_traffic_only,6,42,1.2211762180918702,1.2211762180918702,0.0,PASS
meteorology_ablation,M0_traffic_only,6,2025,1.2105098615797245,1.2105098615797245,0.0,PASS
meteorology_ablation,M0_traffic_only,6,20260623,1.2210236967858117,1.2210236967858117,0.0,PASS
meteorology_ablation,M0_traffic_only,6,20260715,1.2172144128169637,1.2172144128169635,2.220446049250313e-16,PASS
meteorology_ablation,M0_traffic_only,6,20260718,1.2129746635187961,1.212974663518796,2.220446049250313e-16,PASS
meteorology_ablation,M1_temperature,1,42,1.000396457125218,1.000396457125218,0.0,PASS
meteorology_ablation,M1_temperature,1,2025,1.0053344726376066,1.0053344726376066,0.0,PASS
meteorology_ablation,M1_temperature,1,20260623,1.0072548244634694,1.0072548244634694,0.0,PASS
meteorology_ablation,M1_temperature,1,20260715,1.0119663603840705,1.0119663603840705,0.0,PASS
meteorology_ablation,M1_temperature,1,20260718,1.004089316261906,1.004089316261906,0.0,PASS
meteorology_ablation,M1_temperature,3,42,1.173947905874277,1.173947905874277,0.0,PASS
meteorology_ablation,M1_temperature,3,2025,1.173161581351098,1.173161581351098,0.0,PASS
meteorology_ablation,M1_temperature,3,20260623,1.1780777985474928,1.1780777985474928,0.0,PASS
meteorology_ablation,M1_temperature,3,20260715,1.1831165901933742,1.1831165901933742,0.0,PASS
meteorology_ablation,M1_temperature,3,20260718,1.176291434752007,1.176291434752007,0.0,PASS
meteorology_ablation,M1_temperature,6,42,1.2694035856910373,1.2694035856910373,0.0,PASS
meteorology_ablation,M1_temperature,6,2025,1.2628626293147132,1.2628626293147132,0.0,PASS
meteorology_ablation,M1_temperature,6,20260623,1.2528462330636825,1.2528462330636825,0.0,PASS
meteorology_ablation,M1_temperature,6,20260715,1.2577966984279874,1.2577966984279874,0.0,PASS
meteorology_ablation,M1_temperature,6,20260718,1.2597275474234697,1.2597275474234697,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,1,42,1.0358852859734584,1.0358852859734584,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,1,2025,1.0354091188551826,1.0354091188551826,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,1,20260623,1.0316256582953989,1.0316256582953989,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,1,20260715,1.041146021034001,1.041146021034001,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,1,20260718,1.038208735609347,1.038208735609347,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,3,42,1.2096471243507854,1.2096471243507854,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,3,2025,1.2060846089383455,1.2060846089383457,2.220446049250313e-16,PASS
meteorology_ablation,M2_humidity_dew_point,3,20260623,1.208563602273854,1.208563602273854,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,3,20260715,1.2053508132200876,1.2053508132200876,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,3,20260718,1.2026947120286884,1.2026947120286884,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,6,42,1.2924252114054102,1.2924252114054102,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,6,2025,1.2891418446392917,1.2891418446392915,2.220446049250313e-16,PASS
meteorology_ablation,M2_humidity_dew_point,6,20260623,1.3016826704012017,1.3016826704012017,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,6,20260715,1.2971633408661547,1.2971633408661547,0.0,PASS
meteorology_ablation,M2_humidity_dew_point,6,20260718,1.299929763578519,1.299929763578519,0.0,PASS
meteorology_ablation,M3_wind,1,42,1.0234724249456546,1.0234724249456546,0.0,PASS
meteorology_ablation,M3_wind,1,2025,1.014328677257572,1.014328677257572,0.0,PASS
meteorology_ablation,M3_wind,1,20260623,1.0184492053924539,1.018449205392454,2.220446049250313e-16,PASS
meteorology_ablation,M3_wind,1,20260715,1.0280648248774698,1.0280648248774698,0.0,PASS
meteorology_ablation,M3_wind,1,20260718,1.0230950472353315,1.0230950472353315,0.0,PASS
meteorology_ablation,M3_wind,3,42,1.231335377953214,1.231335377953214,0.0,PASS
meteorology_ablation,M3_wind,3,2025,1.2246661547547115,1.2246661547547115,0.0,PASS
meteorology_ablation,M3_wind,3,20260623,1.2338171963079243,1.2338171963079243,0.0,PASS
meteorology_ablation,M3_wind,3,20260715,1.2333020903644656,1.2333020903644656,0.0,PASS
meteorology_ablation,M3_wind,3,20260718,1.2370937340556043,1.2370937340556043,0.0,PASS
meteorology_ablation,M3_wind,6,42,1.2925602265745486,1.2925602265745486,0.0,PASS
meteorology_ablation,M3_wind,6,2025,1.2848116387349937,1.2848116387349937,0.0,PASS
meteorology_ablation,M3_wind,6,20260623,1.3009599847856033,1.3009599847856033,0.0,PASS
meteorology_ablation,M3_wind,6,20260715,1.2976382250353764,1.2976382250353764,0.0,PASS
meteorology_ablation,M3_wind,6,20260718,1.2998609682332323,1.2998609682332325,2.220446049250313e-16,PASS
meteorology_ablation,M4_pressure,1,42,0.995394907453742,0.995394907453742,0.0,PASS
meteorology_ablation,M4_pressure,1,2025,0.9867879840847195,0.9867879840847196,1.1102230246251565e-16,PASS
meteorology_ablation,M4_pressure,1,20260623,0.9896364293926796,0.9896364293926796,0.0,PASS
meteorology_ablation,M4_pressure,1,20260715,0.9963493958667957,0.9963493958667956,1.1102230246251565e-16,PASS
